x,y,timestamp,subarray
17495100,0.0747,2025-06-11T00:00:05.000688+00:00,0
17495136,0.0678,2025-06-11T00:00:05.000688+00:00,0
17495172,0.05771,2025-06-11T00:00:05.000688+00:00,0
17495208,0.05192,2025-06-11T00:00:05.000688+00:00,0
17495244,0.05604,2025-06-11T00:00:05.000688+00:00,0
17495280,0.06771,2025-06-11T00:00:05.000688+00:00,0
17495316,0.08022,2025-06-11T00:00:05.000688+00:00,0
17495352,0.08,2025-06-11T00:00:05.000688+00:00,0
17495388,0.06509,2025-06-11T00:00:05.000688+00:00,0
17495424,0.02125,2025-06-11T00:00:05.000688+00:00,0
17495460,0.0138,2025-06-11T00:00:05.000688+00:00,0
17495496,0.0001,2025-06-11T00:00:05.000688+00:00,0
17495532,0.00505,2025-06-11T00:00:05.000688+00:00,0
17495568,0.005,2025-06-11T00:00:05.000688+00:00,0
17495604,0.00099,2025-06-11T00:00:05.000688+00:00,0
17495640,0.01,2025-06-11T00:00:05.000688+00:00,0
17495676,0.05966,2025-06-11T00:00:05.000688+00:00,0
17495712,0.08718,2025-06-11T00:00:05.000688+00:00,0
17495748,0.10243,2025-06-11T00:00:05.000688+00:00,0
17495784,0.11333,2025-06-11T00:00:05.000688+00:00,0
17495820,0.1233,2025-06-11T00:00:05.000688+00:00,0
17495856,0.11337,2025-06-11T00:00:05.000688+00:00,0
17495892,0.10495,2025-06-11T00:00:05.000688+00:00,0
17495928,0.11431,2025-06-11T00:00:05.000688+00:00,0
17495964,0.092,2025-06-11T00:00:05.000688+00:00,0
17496000,0.08375,2025-06-11T00:00:05.000688+00:00,0
17496036,0.095,2025-06-11T00:00:05.000688+00:00,0
17496072,0.086,2025-06-11T00:00:05.000688+00:00,0
17496108,0.09,2025-06-11T00:00:05.000688+00:00,0
17496144,0.11219,2025-06-11T00:00:05.000688+00:00,0
17496180,0.1202,2025-06-11T00:00:05.000688+00:00,0
17496216,0.1,2025-06-11T00:00:05.000688+00:00,0
17496252,0.08539,2025-06-11T00:00:05.000688+00:00,0
17496288,0.03191,2025-06-11T00:00:05.000688+00:00,0
17496324,0.0012,2025-06-11T00:00:05.000688+00:00,0
17496360,-0.0002,2025-06-11T00:00:05.000688+00:00,0
17496396,-0.00064,2025-06-11T00:00:05.000688+00:00,0
17496432,-0.003,2025-06-11T00:00:05.000688+00:00,0
17496468,-0.00159,2025-06-11T00:00:05.000688+00:00,0
17496504,0.002,2025-06-11T00:00:05.000688+00:00,0
17496540,0.06404,2025-06-11T00:00:05.000688+00:00,0
17496576,0.0997,2025-06-11T00:00:05.000688+00:00,0
17496612,0.13032,2025-06-11T00:00:05.000688+00:00,0
17496648,0.20838,2025-06-11T00:00:05.000688+00:00,0
17496684,0.18,2025-06-11T00:00:05.000688+00:00,0
17496720,0.11934,2025-06-11T00:00:05.000688+00:00,0
17496756,0.09668,2025-06-11T00:00:05.000688+00:00,0
17496791.999722224,0.09668,2025-06-11T00:00:05.000688+00:00,0
17495100,0.105,2025-06-11T00:00:05.000688+00:00,1
17495136,0.099,2025-06-11T00:00:05.000688+00:00,1
17495172,0.092,2025-06-11T00:00:05.000688+00:00,1
17495208,0.094,2025-06-11T00:00:05.000688+00:00,1
17495244,0.113,2025-06-11T00:00:05.000688+00:00,1
17495280,0.166,2025-06-11T00:00:05.000688+00:00,1
17495316,0.212,2025-06-11T00:00:05.000688+00:00,1
17495352,0.228,2025-06-11T00:00:05.000688+00:00,1
17495388,0.206,2025-06-11T00:00:05.000688+00:00,1
17495424,0.18,2025-06-11T00:00:05.000688+00:00,1
17495460,0.166,2025-06-11T00:00:05.000688+00:00,1
17495496,0.147,2025-06-11T00:00:05.000688+00:00,1
17495532,0.145,2025-06-11T00:00:05.000688+00:00,1
17495568,0.141,2025-06-11T00:00:05.000688+00:00,1
17495604,0.151,2025-06-11T00:00:05.000688+00:00,1
17495640,0.164,2025-06-11T00:00:05.000688+00:00,1
17495676,0.206,2025-06-11T00:00:05.000688+00:00,1
17495712,0.224,2025-06-11T00:00:05.000688+00:00,1
17495748,0.237,2025-06-11T00:00:05.000688+00:00,1
17495784,0.032,2025-06-11T00:00:05.000688+00:00,1
17495820,0.012,2025-06-11T00:00:05.000688+00:00,1
17495856,0.008,2025-06-11T00:00:05.000688+00:00,1
17495892,-0.014,2025-06-11T00:00:05.000688+00:00,1
17495928,-0.013,2025-06-11T00:00:05.000688+00:00,1
17495964,-0.018,2025-06-11T00:00:05.000688+00:00,1
17496000,-0.01,2025-06-11T00:00:05.000688+00:00,1
17496036,-0.008,2025-06-11T00:00:05.000688+00:00,1
17496072,0.005,2025-06-11T00:00:05.000688+00:00,1
17496108,0.034,2025-06-11T00:00:05.000688+00:00,1
17496144,0.098,2025-06-11T00:00:05.000688+00:00,1
17496180,0.154,2025-06-11T00:00:05.000688+00:00,1
17496216,0.18,2025-06-11T00:00:05.000688+00:00,1
17496252,0.152,2025-06-11T00:00:05.000688+00:00,1
17496288,0.121,2025-06-11T00:00:05.000688+00:00,1
17496324,0.101,2025-06-11T00:00:05.000688+00:00,1
