x,y,timestamp,subarray
17475228,0.10149,2025-05-19T00:00:05.000650+00:00,0
17475264,0.09857,2025-05-19T00:00:05.000650+00:00,0
17475300,0.0974,2025-05-19T00:00:05.000650+00:00,0
17475336,0.09841,2025-05-19T00:00:05.000650+00:00,0
17475372,0.0978,2025-05-19T00:00:05.000650+00:00,0
17475408,0.09195,2025-05-19T00:00:05.000650+00:00,0
17475444,0.08748,2025-05-19T00:00:05.000650+00:00,0
17475480,0.08556,2025-05-19T00:00:05.000650+00:00,0
17475516,0.01602,2025-05-19T00:00:05.000650+00:00,0
17475552,2e-05,2025-05-19T00:00:05.000650+00:00,0
17475588,-0.0002,2025-05-19T00:00:05.000650+00:00,0
17475624,-0.002,2025-05-19T00:00:05.000650+00:00,0
17475660,-0.00737,2025-05-19T00:00:05.000650+00:00,0
17475696,-0.015,2025-05-19T00:00:05.000650+00:00,0
17475732,-0.00897,2025-05-19T00:00:05.000650+00:00,0
17475768,-0.0002,2025-05-19T00:00:05.000650+00:00,0
17475804,0.00963,2025-05-19T00:00:05.000650+00:00,0
17475840,0.08565,2025-05-19T00:00:05.000650+00:00,0
17475876,0.09752,2025-05-19T00:00:05.000650+00:00,0
17475912,0.11779,2025-05-19T00:00:05.000650+00:00,0
17475948,0.128,2025-05-19T00:00:05.000650+00:00,0
17475984,0.1154,2025-05-19T00:00:05.000650+00:00,0
17476020,0.1,2025-05-19T00:00:05.000650+00:00,0
17476056,0.11048,2025-05-19T00:00:05.000650+00:00,0
17476092,0.09903,2025-05-19T00:00:05.000650+00:00,0
17476128,0.09337,2025-05-19T00:00:05.000650+00:00,0
17476164,0.0901,2025-05-19T00:00:05.000650+00:00,0
17476200,0.09075,2025-05-19T00:00:05.000650+00:00,0
17476236,0.1024,2025-05-19T00:00:05.000650+00:00,0
17476272,0.128,2025-05-19T00:00:05.000650+00:00,0
17476308,0.13753,2025-05-19T00:00:05.000650+00:00,0
17476344,0.11574,2025-05-19T00:00:05.000650+00:00,0
17476380,0.09039,2025-05-19T00:00:05.000650+00:00,0
17476416,0.06433,2025-05-19T00:00:05.000650+00:00,0
17476452,0.02757,2025-05-19T00:00:05.000650+00:00,0
17476488,0.01277,2025-05-19T00:00:05.000650+00:00,0
17476524,0.005,2025-05-19T00:00:05.000650+00:00,0
17476560,0.008,2025-05-19T00:00:05.000650+00:00,0
17476596,0.02594,2025-05-19T00:00:05.000650+00:00,0
17476632,0.06604,2025-05-19T00:00:05.000650+00:00,0
17476668,0.08899,2025-05-19T00:00:05.000650+00:00,0
17476704,0.10616,2025-05-19T00:00:05.000650+00:00,0
17476740,0.13488,2025-05-19T00:00:05.000650+00:00,0
17476776,0.19335,2025-05-19T00:00:05.000650+00:00,0
17476812,0.15,2025-05-19T00:00:05.000650+00:00,0
17476848,0.11709,2025-05-19T00:00:05.000650+00:00,0
17476884,0.1031,2025-05-19T00:00:05.000650+00:00,0
17476919.999722224,0.1031,2025-05-19T00:00:05.000650+00:00,0
17475228,0.099,2025-05-19T00:00:05.000650+00:00,1
17475264,0.088,2025-05-19T00:00:05.000650+00:00,1
17475300,0.076,2025-05-19T00:00:05.000650+00:00,1
17475336,0.07,2025-05-19T00:00:05.000650+00:00,1
17475372,0.071,2025-05-19T00:00:05.000650+00:00,1
17475408,0.08,2025-05-19T00:00:05.000650+00:00,1
17475444,0.1,2025-05-19T00:00:05.000650+00:00,1
17475480,0.111,2025-05-19T00:00:05.000650+00:00,1
17475516,0.108,2025-05-19T00:00:05.000650+00:00,1
17475552,0.09,2025-05-19T00:00:05.000650+00:00,1
17475588,0.072,2025-05-19T00:00:05.000650+00:00,1
17475624,0.055,2025-05-19T00:00:05.000650+00:00,1
17475660,0.035,2025-05-19T00:00:05.000650+00:00,1
17475696,0.038,2025-05-19T00:00:05.000650+00:00,1
17475732,0.052,2025-05-19T00:00:05.000650+00:00,1
17475768,0.083,2025-05-19T00:00:05.000650+00:00,1
17475804,0.135,2025-05-19T00:00:05.000650+00:00,1
17475840,0.178,2025-05-19T00:00:05.000650+00:00,1
17475876,0.193,2025-05-19T00:00:05.000650+00:00,1
17475912,0.106,2025-05-19T00:00:05.000650+00:00,1
17475948,0.088,2025-05-19T00:00:05.000650+00:00,1
17475984,0.081,2025-05-19T00:00:05.000650+00:00,1
17476020,0.061,2025-05-19T00:00:05.000650+00:00,1
17476056,0.062,2025-05-19T00:00:05.000650+00:00,1
17476092,0.047,2025-05-19T00:00:05.000650+00:00,1
17476128,0.045,2025-05-19T00:00:05.000650+00:00,1
17476164,0.037,2025-05-19T00:00:05.000650+00:00,1
17476200,0.04,2025-05-19T00:00:05.000650+00:00,1
17476236,0.061,2025-05-19T00:00:05.000650+00:00,1
17476272,0.12,2025-05-19T00:00:05.000650+00:00,1
17476308,0.171,2025-05-19T00:00:05.000650+00:00,1
17476344,0.189,2025-05-19T00:00:05.000650+00:00,1
17476380,0.156,2025-05-19T00:00:05.000650+00:00,1
17476416,0.119,2025-05-19T00:00:05.000650+00:00,1
17476452,0.096,2025-05-19T00:00:05.000650+00:00,1
17476488,0.067,2025-05-19T00:00:05.000650+00:00,1
17476524,0.056,2025-05-19T00:00:05.000650+00:00,1
17476560,0.044,2025-05-19T00:00:05.000650+00:00,1
17476596,0.054,2025-05-19T00:00:05.000650+00:00,1
17476632,0.066,2025-05-19T00:00:05.000650+00:00,1
17476668,0.111,2025-05-19T00:00:05.000650+00:00,1
17476704,0.129,2025-05-19T00:00:05.000650+00:00,1
17476740,0.143,2025-05-19T00:00:05.000650+00:00,1
17476776,0.122,2025-05-19T00:00:05.000650+00:00,1
17476812,0.089,2025-05-19T00:00:05.000650+00:00,1
17476848,0.074,2025-05-19T00:00:05.000650+00:00,1
17476884,0.038,2025-05-19T00:00:05.000650+00:00,1
17476920,0.042,2025-05-19T00:00:05.000650+00:00,1
17476956,0.026,2025-05-19T00:00:05.000650+00:00,1
17476992,0.023,2025-05-19T00:00:05.000650+00:00,1
17477028,0.019,2025-05-19T00:00:05.000650+00:00,1
17477064,0.026,2025-05-19T00:00:05.000650+00:00,1
17477100,0.051,2025-05-19T00:00:05.000650+00:00,1
17477136,0.114,2025-05-19T00:00:05.000650+00:00,1
17477172,0.169,2025-05-19T00:00:05.000650+00:00,1
17477208,0.19,2025-05-19T00:00:05.000650+00:00,1
17477244,0.161,2025-05-19T00:00:05.000650+00:00,1
17477280,0.128,2025-05-19T00:00:05.000650+00:00,1
17477316,0.108,2025-05-19T00:00:05.000650+00:00,1
17477352,0.083,2025-05-19T00:00:05.000650+00:00,1
17477388,0.076,2025-05-19T00:00:05.000650+00:00,1
17477424,0.066,2025-05-19T00:00:05.000650+00:00,1
17477460,0.075,2025-05-19T00:00:05.000650+00:00,1
17477496,0.087,2025-05-19T00:00:05.000650+00:00,1
17477532,0.131,2025-05-19T00:00:05.000650+00:00,1
17477568,0.15,2025-05-19T00:00:05.000650+00:00,1
17477604,0.163,2025-05-19T00:00:05.000650+00:00,1
17477640,0.141,2025-05-19T00:00:05.000650+00:00,1
17477676,0.102,2025-05-19T00:00:05.000650+00:00,1
17477712,0.082,2025-05-19T00:00:05.000650+00:00,1
17477748,0.042,2025-05-19T00:00:05.000650+00:00,1
17477784,0.027,2025-05-19T00:00:05.000650+00:00,1
17477820,0.006,2025-05-19T00:00:05.000650+00:00,1
17477856,-0.002,2025-05-19T00:00:05.000650+00:00,1
17477892,-0.002,2025-05-19T00:00:05.000650+00:00,1
17477928,0.01,2025-05-19T00:00:05.000650+00:00,1
17477964,0.039,2025-05-19T00:00:05.000650+00:00,1
17478000,0.108,2025-05-19T00:00:05.000650+00:00,1
17478036,0.168,2025-05-19T00:00:05.000650+00:00,1
17478072,0.195,2025-05-19T00:00:05.000650+00:00,1
17478108,0.16,2025-05-19T00:00:05.000650+00:00,1
17478144,0.121,2025-05-19T00:00:05.000650+00:00,1
17478180,0.095,2025-05-19T00:00:05.000650+00:00,1
17478216,0.064,2025-05-19T00:00:05.000650+00:00,1
17478252,0.05,2025-05-19T00:00:05.000650+00:00,1
17478288,0.034,2025-05-19T00:00:05.000650+00:00,1
17478324,0.04,2025-05-19T00:00:05.000650+00:00,1
17478360,0.049,2025-05-19T00:00:05.000650+00:00,1
17478396,0.09,2025-05-19T00:00:05.000650+00:00,1
17478432,0.105,2025-05-19T00:00:05.000650+00:00,1
17478468,0.116,2025-05-19T00:00:05.000650+00:00,1
17478504,0.09,2025-05-19T00:00:05.000650+00:00,1
17478540,0.063,2025-05-19T00:00:05.000650+00:00,1
17478576,0.055,2025-05-19T00:00:05.000650+00:00,1
17478612,0.026,2025-05-19T00:00:05.000650+00:00,1
17478648,0.022,2025-05-19T00:00:05.000650+00:00,1
17478684,0.012,2025-05-19T00:00:05.000650+00:00,1
17478720,0.015,2025-05-19T00:00:05.000650+00:00,1
17478756,0.009,2025-05-19T00:00:05.000650+00:00,1
17478792,0.014,2025-05-19T00:00:05.000650+00:00,1
17478828,0.037,2025-05-19T00:00:05.000650+00:00,1
17478864,0.098,2025-05-19T00:00:05.000650+00:00,1
17478900,0.151,2025-05-19T00:00:05.000650+00:00,1
17478936,0.171,2025-05-19T00:00:05.000650+00:00,1
17478972,0.136,2025-05-19T00:00:05.000650+00:00,1
17479008,0.098,2025-05-19T00:00:05.000650+00:00,1
17479044,0.072,2025-05-19T00:00:05.000650+00:00,1
17479080,0.042,2025-05-19T00:00:05.000650+00:00,1
17479116,0.028,2025-05-19T00:00:05.000650+00:00,1
17479152,0.012,2025-05-19T00:00:05.000650+00:00,1
17479188,0.018,2025-05-19T00:00:05.000650+00:00,1
17479224,0.026,2025-05-19T00:00:05.000650+00:00,1
17479260,0.066,2025-05-19T00:00:05.000650+00:00,1
17479296,0.081,2025-05-19T00:00:05.000650+00:00,1
17479332,0.09,2025-05-19T00:00:05.000650+00:00,1
17479368,0.065,2025-05-19T00:00:05.000650+00:00,1
17479404,0.036,2025-05-19T00:00:05.000650+00:00,1
17479440,0.024,2025-05-19T00:00:05.000650+00:00,1
17479476,-0.008,2025-05-19T00:00:05.000650+00:00,1
17479512,-0.023,2025-05-19T00:00:05.000650+00:00,1
17479548,-0.035,2025-05-19T00:00:05.000650+00:00,1
17479584,-0.035,2025-05-19T00:00:05.000650+00:00,1
17479620,-0.037,2025-05-19T00:00:05.000650+00:00,1
17479656,-0.029,2025-05-19T00:00:05.000650+00:00,1
17479692,-0.001,2025-05-19T00:00:05.000650+00:00,1
17479728,0.063,2025-05-19T00:00:05.000650+00:00,1
17479764,0.12,2025-05-19T00:00:05.000650+00:00,1
17479800,0.144,2025-05-19T00:00:05.000650+00:00,1
17479836,0.107,2025-05-19T00:00:05.000650+00:00,1
17479872,0.068,2025-05-19T00:00:05.000650+00:00,1
17479908,0.041,2025-05-19T00:00:05.000650+00:00,1
17479944,0.009,2025-05-19T00:00:05.000650+00:00,1
17479980,-0.005,2025-05-19T00:00:05.000650+00:00,1
17480016,-0.021,2025-05-19T00:00:05.000650+00:00,1
17480052,-0.012,2025-05-19T00:00:05.000650+00:00,1
17480088,0,2025-05-19T00:00:05.000650+00:00,1
17480124,0.045,2025-05-19T00:00:05.000650+00:00,1
17480160,0.063,2025-05-19T00:00:05.000650+00:00,1
17480196,0.076,2025-05-19T00:00:05.000650+00:00,1
17480232,0.054,2025-05-19T00:00:05.000650+00:00,1
17480268,0.029,2025-05-19T00:00:05.000650+00:00,1
17480304,0.021,2025-05-19T00:00:05.000650+00:00,1
17480340,-0.006,2025-05-19T00:00:05.000650+00:00,1
17480376,0.005,2025-05-19T00:00:05.000650+00:00,1
17480412,-0.009,2025-05-19T00:00:05.000650+00:00,1
17480448,-0.01,2025-05-19T00:00:05.000650+00:00,1
17480484,-0.019,2025-05-19T00:00:05.000650+00:00,1
17480520,-0.023,2025-05-19T00:00:05.000650+00:00,1
17480556,-0.019,2025-05-19T00:00:05.000650+00:00,1
17480592,-0.008,2025-05-19T00:00:05.000650+00:00,1
17480628,0.014,2025-05-19T00:00:05.000650+00:00,1
17480664,0.028,2025-05-19T00:00:05.000650+00:00,1
17480700,0.014,2025-05-19T00:00:05.000650+00:00,1
17480736,-0.016,2025-05-19T00:00:05.000650+00:00,1
17480772,-0.045,2025-05-19T00:00:05.000650+00:00,1
17480808,-0.074,2025-05-19T00:00:05.000650+00:00,1
17480844,-0.105,2025-05-19T00:00:05.000650+00:00,1
17480880,-0.115,2025-05-19T00:00:05.000650+00:00,1
17480916,-0.102,2025-05-19T00:00:05.000650+00:00,1
17480952,-0.07,2025-05-19T00:00:05.000650+00:00,1
17480988,-0.019,2025-05-19T00:00:05.000650+00:00,1
17481024,0.023,2025-05-19T00:00:05.000650+00:00,1
17481060,0.038,2025-05-19T00:00:05.000650+00:00,1
17481096,0.027,2025-05-19T00:00:05.000650+00:00,1
17481132,0.011,2025-05-19T00:00:05.000650+00:00,1
17481168,0.007,2025-05-19T00:00:05.000650+00:00,1
17481204,-0.01,2025-05-19T00:00:05.000650+00:00,1
17481240,-0.031,2025-05-19T00:00:05.000650+00:00,1
17481276,-0.049,2025-05-19T00:00:05.000650+00:00,1
17481312,-0.054,2025-05-19T00:00:05.000650+00:00,1
17481348,-0.069,2025-05-19T00:00:05.000650+00:00,1
17481384,-0.078,2025-05-19T00:00:05.000650+00:00,1
17481420,-0.08,2025-05-19T00:00:05.000650+00:00,1
17481456,-0.073,2025-05-19T00:00:05.000650+00:00,1
17481492,-0.056,2025-05-19T00:00:05.000650+00:00,1
17481528,-0.046,2025-05-19T00:00:05.000650+00:00,1
17481564,-0.055,2025-05-19T00:00:05.000650+00:00,1
17481600,-0.08,2025-05-19T00:00:05.000650+00:00,1
17481636,-0.104,2025-05-19T00:00:05.000650+00:00,1
17481672,-0.127,2025-05-19T00:00:05.000650+00:00,1
17481708,-0.154,2025-05-19T00:00:05.000650+00:00,1
17481744,-0.159,2025-05-19T00:00:05.000650+00:00,1
17481780,-0.144,2025-05-19T00:00:05.000650+00:00,1
17481816,-0.112,2025-05-19T00:00:05.000650+00:00,1
17481852,-0.061,2025-05-19T00:00:05.000650+00:00,1
17481888,-0.017,2025-05-19T00:00:05.000650+00:00,1
17481924,-0.001,2025-05-19T00:00:05.000650+00:00,1
17481960,-0.012,2025-05-19T00:00:05.000650+00:00,1
17481996,-0.023,2025-05-19T00:00:05.000650+00:00,1
17482032,-0.022,2025-05-19T00:00:05.000650+00:00,1
17482068,-0.035,2025-05-19T00:00:05.000650+00:00,1
17482104,-0.026,2025-05-19T00:00:05.000650+00:00,1
17482140,-0.034,2025-05-19T00:00:05.000650+00:00,1
17482176,-0.029,2025-05-19T00:00:05.000650+00:00,1
17475228,0.099,2025-05-19T00:00:05.000650+00:00,2
17475264,0.088,2025-05-19T00:00:05.000650+00:00,2
17475300,0.076,2025-05-19T00:00:05.000650+00:00,2
17475336,0.07,2025-05-19T00:00:05.000650+00:00,2
17475372,0.071,2025-05-19T00:00:05.000650+00:00,2
17475408,0.08,2025-05-19T00:00:05.000650+00:00,2
17475444,0.1,2025-05-19T00:00:05.000650+00:00,2
17475480,0.111,2025-05-19T00:00:05.000650+00:00,2
17475516,0.108,2025-05-19T00:00:05.000650+00:00,2
17475552,0.09,2025-05-19T00:00:05.000650+00:00,2
17475588,0.072,2025-05-19T00:00:05.000650+00:00,2
17475624,0.055,2025-05-19T00:00:05.000650+00:00,2
17475660,0.035,2025-05-19T00:00:05.000650+00:00,2
17475696,0.038,2025-05-19T00:00:05.000650+00:00,2
17475732,0.052,2025-05-19T00:00:05.000650+00:00,2
17475768,0.083,2025-05-19T00:00:05.000650+00:00,2
17475804,0.135,2025-05-19T00:00:05.000650+00:00,2
17475840,0.178,2025-05-19T00:00:05.000650+00:00,2
17475876,0.193,2025-05-19T00:00:05.000650+00:00,2
17475912,0.12,2025-05-19T00:00:05.000650+00:00,2
17475948,0.103,2025-05-19T00:00:05.000650+00:00,2
17475984,0.099,2025-05-19T00:00:05.000650+00:00,2
17476020,0.081,2025-05-19T00:00:05.000650+00:00,2
17476056,0.084,2025-05-19T00:00:05.000650+00:00,2
17476092,0.071,2025-05-19T00:00:05.000650+00:00,2
17476128,0.07,2025-05-19T00:00:05.000650+00:00,2
17476164,0.061,2025-05-19T00:00:05.000650+00:00,2
17476200,0.062,2025-05-19T00:00:05.000650+00:00,2
17476236,0.081,2025-05-19T00:00:05.000650+00:00,2
17476272,0.139,2025-05-19T00:00:05.000650+00:00,2
17476308,0.188,2025-05-19T00:00:05.000650+00:00,2
17476344,0.204,2025-05-19T00:00:05.000650+00:00,2
17476380,0.171,2025-05-19T00:00:05.000650+00:00,2
17476416,0.134,2025-05-19T00:00:05.000650+00:00,2
17476452,0.111,2025-05-19T00:00:05.000650+00:00,2
17476488,0.082,2025-05-19T00:00:05.000650+00:00,2
17476524,0.072,2025-05-19T00:00:05.000650+00:00,2
17476560,0.058,2025-05-19T00:00:05.000650+00:00,2
17476596,0.069,2025-05-19T00:00:05.000650+00:00,2
17476632,0.081,2025-05-19T00:00:05.000650+00:00,2
17476668,0.127,2025-05-19T00:00:05.000650+00:00,2
17476704,0.146,2025-05-19T00:00:05.000650+00:00,2
17476740,0.16,2025-05-19T00:00:05.000650+00:00,2
17476776,0.139,2025-05-19T00:00:05.000650+00:00,2
17476812,0.106,2025-05-19T00:00:05.000650+00:00,2
17476848,0.091,2025-05-19T00:00:05.000650+00:00,2
17476884,0.056,2025-05-19T00:00:05.000650+00:00,2
17476920,0.06,2025-05-19T00:00:05.000650+00:00,2
17476956,0.045,2025-05-19T00:00:05.000650+00:00,2
17476992,0.042,2025-05-19T00:00:05.000650+00:00,2
17477028,0.037,2025-05-19T00:00:05.000650+00:00,2
17477064,0.043,2025-05-19T00:00:05.000650+00:00,2
17477100,0.067,2025-05-19T00:00:05.000650+00:00,2
