x,y,timestamp,subarray
17450172,0.07438,2025-04-20T00:00:05.000635+00:00,0
17450208,0.0786,2025-04-20T00:00:05.000635+00:00,0
17450244,0.07621,2025-04-20T00:00:05.000635+00:00,0
17450280,0.07892,2025-04-20T00:00:05.000635+00:00,0
17450316,0.08305,2025-04-20T00:00:05.000635+00:00,0
17450352,0.08835,2025-04-20T00:00:05.000635+00:00,0
17450388,0.08493,2025-04-20T00:00:05.000635+00:00,0
17450424,0.07839,2025-04-20T00:00:05.000635+00:00,0
17450460,0.07056,2025-04-20T00:00:05.000635+00:00,0
17450496,0.02851,2025-04-20T00:00:05.000635+00:00,0
17450532,0.00454,2025-04-20T00:00:05.000635+00:00,0
17450568,0,2025-04-20T00:00:05.000635+00:00,0
17450604,-0.00564,2025-04-20T00:00:05.000635+00:00,0
17450640,-0.01177,2025-04-20T00:00:05.000635+00:00,0
17450676,-0.0016,2025-04-20T00:00:05.000635+00:00,0
17450712,0.0002,2025-04-20T00:00:05.000635+00:00,0
17450748,0.05615,2025-04-20T00:00:05.000635+00:00,0
17450784,0.09291,2025-04-20T00:00:05.000635+00:00,0
17450820,0.11398,2025-04-20T00:00:05.000635+00:00,0
17450856,0.12668,2025-04-20T00:00:05.000635+00:00,0
17450892,0.1199,2025-04-20T00:00:05.000635+00:00,0
17450928,0.1039,2025-04-20T00:00:05.000635+00:00,0
17450964,0.09441,2025-04-20T00:00:05.000635+00:00,0
17451000,0.098,2025-04-20T00:00:05.000635+00:00,0
17451036,0.09075,2025-04-20T00:00:05.000635+00:00,0
17451072,0.10334,2025-04-20T00:00:05.000635+00:00,0
17451108,0.096,2025-04-20T00:00:05.000635+00:00,0
17451144,0.1003,2025-04-20T00:00:05.000635+00:00,0
17451180,0.12379,2025-04-20T00:00:05.000635+00:00,0
17451216,0.12346,2025-04-20T00:00:05.000635+00:00,0
17451252,0.10599,2025-04-20T00:00:05.000635+00:00,0
17451288,0.09318,2025-04-20T00:00:05.000635+00:00,0
17451324,0.0195,2025-04-20T00:00:05.000635+00:00,0
17451360,-2e-05,2025-04-20T00:00:05.000635+00:00,0
17451396,-0.00908,2025-04-20T00:00:05.000635+00:00,0
17451432,-0.03,2025-04-20T00:00:05.000635+00:00,0
17451468,-0.0579,2025-04-20T00:00:05.000635+00:00,0
17451504,-0.0274,2025-04-20T00:00:05.000635+00:00,0
17451540,-0.00515,2025-04-20T00:00:05.000635+00:00,0
17451576,0,2025-04-20T00:00:05.000635+00:00,0
17451612,0.08136,2025-04-20T00:00:05.000635+00:00,0
17451648,0.10681,2025-04-20T00:00:05.000635+00:00,0
17451684,0.12692,2025-04-20T00:00:05.000635+00:00,0
17451720,0.14495,2025-04-20T00:00:05.000635+00:00,0
17451756,0.14599,2025-04-20T00:00:05.000635+00:00,0
17451792,0.12249,2025-04-20T00:00:05.000635+00:00,0
17451828,0.11001,2025-04-20T00:00:05.000635+00:00,0
17451863.999722224,0.11001,2025-04-20T00:00:05.000635+00:00,0
17450172,0.263,2025-04-20T00:00:05.000635+00:00,1
17450208,0.243,2025-04-20T00:00:05.000635+00:00,1
17450244,0.222,2025-04-20T00:00:05.000635+00:00,1
17450280,0.212,2025-04-20T00:00:05.000635+00:00,1
17450316,0.213,2025-04-20T00:00:05.000635+00:00,1
17450352,0.231,2025-04-20T00:00:05.000635+00:00,1
17450388,0.265,2025-04-20T00:00:05.000635+00:00,1
17450424,0.285,2025-04-20T00:00:05.000635+00:00,1
17450460,0.28,2025-04-20T00:00:05.000635+00:00,1
17450496,0.249,2025-04-20T00:00:05.000635+00:00,1
17450532,0.217,2025-04-20T00:00:05.000635+00:00,1
17450568,0.187,2025-04-20T00:00:05.000635+00:00,1
17450604,0.152,2025-04-20T00:00:05.000635+00:00,1
17450640,0.157,2025-04-20T00:00:05.000635+00:00,1
17450676,0.182,2025-04-20T00:00:05.000635+00:00,1
17450712,0.237,2025-04-20T00:00:05.000635+00:00,1
17450748,0.328,2025-04-20T00:00:05.000635+00:00,1
17450784,0.403,2025-04-20T00:00:05.000635+00:00,1
17450820,0.431,2025-04-20T00:00:05.000635+00:00,1
17450856,0.164,2025-04-20T00:00:05.000635+00:00,1
17450892,0.138,2025-04-20T00:00:05.000635+00:00,1
17450928,0.134,2025-04-20T00:00:05.000635+00:00,1
17450964,0.105,2025-04-20T00:00:05.000635+00:00,1
17451000,0.072,2025-04-20T00:00:05.000635+00:00,1
17451036,0.042,2025-04-20T00:00:05.000635+00:00,1
17451072,0.035,2025-04-20T00:00:05.000635+00:00,1
17451108,0.019,2025-04-20T00:00:05.000635+00:00,1
17451144,0.013,2025-04-20T00:00:05.000635+00:00,1
17451180,0.019,2025-04-20T00:00:05.000635+00:00,1
17451216,0.04,2025-04-20T00:00:05.000635+00:00,1
17451252,0.079,2025-04-20T00:00:05.000635+00:00,1
17451288,0.104,2025-04-20T00:00:05.000635+00:00,1
17451324,0.098,2025-04-20T00:00:05.000635+00:00,1
17451360,0.066,2025-04-20T00:00:05.000635+00:00,1
17451396,0.034,2025-04-20T00:00:05.000635+00:00,1
17451432,0.004,2025-04-20T00:00:05.000635+00:00,1
17451468,-0.031,2025-04-20T00:00:05.000635+00:00,1
17451504,-0.028,2025-04-20T00:00:05.000635+00:00,1
17451540,-0.013,2025-04-20T00:00:05.000635+00:00,1
17451576,0.032,2025-04-20T00:00:05.000635+00:00,1
17451612,0.112,2025-04-20T00:00:05.000635+00:00,1
17451648,0.177,2025-04-20T00:00:05.000635+00:00,1
17451684,0.193,2025-04-20T00:00:05.000635+00:00,1
17451720,0.163,2025-04-20T00:00:05.000635+00:00,1
17451756,0.131,2025-04-20T00:00:05.000635+00:00,1
17451792,0.121,2025-04-20T00:00:05.000635+00:00,1
17451828,0.087,2025-04-20T00:00:05.000635+00:00,1
17451864,0.137,2025-04-20T00:00:05.000635+00:00,1
17451900,0.101,2025-04-20T00:00:05.000635+00:00,1
17451936,0.089,2025-04-20T00:00:05.000635+00:00,1
17451972,0.071,2025-04-20T00:00:05.000635+00:00,1
17452008,0.063,2025-04-20T00:00:05.000635+00:00,1
17452044,0.068,2025-04-20T00:00:05.000635+00:00,1
17452080,0.088,2025-04-20T00:00:05.000635+00:00,1
17452116,0.126,2025-04-20T00:00:05.000635+00:00,1
17452152,0.15,2025-04-20T00:00:05.000635+00:00,1
17452188,0.129,2025-04-20T00:00:05.000635+00:00,1
17452224,0.081,2025-04-20T00:00:05.000635+00:00,1
17452260,0.033,2025-04-20T00:00:05.000635+00:00,1
17452296,-0.012,2025-04-20T00:00:05.000635+00:00,1
17452332,-0.064,2025-04-20T00:00:05.000635+00:00,1
17452368,-0.077,2025-04-20T00:00:05.000635+00:00,1
17452404,-0.052,2025-04-20T00:00:05.000635+00:00,1
17452440,0.003,2025-04-20T00:00:05.000635+00:00,1
17452476,0.094,2025-04-20T00:00:05.000635+00:00,1
17452512,0.17,2025-04-20T00:00:05.000635+00:00,1
17452548,0.197,2025-04-20T00:00:05.000635+00:00,1
17452584,0.178,2025-04-20T00:00:05.000635+00:00,1
17452620,0.152,2025-04-20T00:00:05.000635+00:00,1
17452656,0.146,2025-04-20T00:00:05.000635+00:00,1
17452692,0.117,2025-04-20T00:00:05.000635+00:00,1
17452728,0.105,2025-04-20T00:00:05.000635+00:00,1
17452764,0.084,2025-04-20T00:00:05.000635+00:00,1
17452800,0.087,2025-04-20T00:00:05.000635+00:00,1
17452836,0.07,2025-04-20T00:00:05.000635+00:00,1
17452872,0.073,2025-04-20T00:00:05.000635+00:00,1
17452908,0.108,2025-04-20T00:00:05.000635+00:00,1
17452944,0.212,2025-04-20T00:00:05.000635+00:00,1
