"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"24/01/2025 00:00:00 - 24/01/2025 01:00:00","BZN|NL","Without sequence","58.53","",""
"24/01/2025 01:00:00 - 24/01/2025 02:00:00","BZN|NL","Without sequence","44.24","",""
"24/01/2025 02:00:00 - 24/01/2025 03:00:00","BZN|NL","Without sequence","39.58","",""
"24/01/2025 03:00:00 - 24/01/2025 04:00:00","BZN|NL","Without sequence","43.81","",""
"24/01/2025 04:00:00 - 24/01/2025 05:00:00","BZN|NL","Without sequence","66.66","",""
"24/01/2025 05:00:00 - 24/01/2025 06:00:00","BZN|NL","Without sequence","81.4","",""
"24/01/2025 06:00:00 - 24/01/2025 07:00:00","BZN|NL","Without sequence","109.02","",""
"24/01/2025 07:00:00 - 24/01/2025 08:00:00","BZN|NL","Without sequence","115.24","",""
"24/01/2025 08:00:00 - 24/01/2025 09:00:00","BZN|NL","Without sequence","96.93","",""
"24/01/2025 09:00:00 - 24/01/2025 10:00:00","BZN|NL","Without sequence","90.0","",""
"24/01/2025 10:00:00 - 24/01/2025 11:00:00","BZN|NL","Without sequence","79.16","",""
"24/01/2025 11:00:00 - 24/01/2025 12:00:00","BZN|NL","Without sequence","77.24","",""
"24/01/2025 12:00:00 - 24/01/2025 13:00:00","BZN|NL","Without sequence","75.27","",""
"24/01/2025 13:00:00 - 24/01/2025 14:00:00","BZN|NL","Without sequence","74.88","",""
"24/01/2025 14:00:00 - 24/01/2025 15:00:00","BZN|NL","Without sequence","78.8","",""
"24/01/2025 15:00:00 - 24/01/2025 16:00:00","BZN|NL","Without sequence","79.9","",""
"24/01/2025 16:00:00 - 24/01/2025 17:00:00","BZN|NL","Without sequence","90.17","",""
"24/01/2025 17:00:00 - 24/01/2025 18:00:00","BZN|NL","Without sequence","91.97","",""
"24/01/2025 18:00:00 - 24/01/2025 19:00:00","BZN|NL","Without sequence","93.27","",""
"24/01/2025 19:00:00 - 24/01/2025 20:00:00","BZN|NL","Without sequence","86.74","",""
"24/01/2025 20:00:00 - 24/01/2025 21:00:00","BZN|NL","Without sequence","82.3","",""
"24/01/2025 21:00:00 - 24/01/2025 22:00:00","BZN|NL","Without sequence","92.93","",""
"24/01/2025 22:00:00 - 24/01/2025 23:00:00","BZN|NL","Without sequence","87.04","",""
"24/01/2025 23:00:00 - 25/01/2025 00:00:00","BZN|NL","Without sequence","57.36","",""
"25/01/2025 00:00:00 - 25/01/2025 01:00:00","BZN|NL","Without sequence","77.87","",""
"25/01/2025 01:00:00 - 25/01/2025 02:00:00","BZN|NL","Without sequence","92.0","",""
"25/01/2025 02:00:00 - 25/01/2025 03:00:00","BZN|NL","Without sequence","105.19","",""
"25/01/2025 03:00:00 - 25/01/2025 04:00:00","BZN|NL","Without sequence","66.81","",""
"25/01/2025 04:00:00 - 25/01/2025 05:00:00","BZN|NL","Without sequence","67.06","",""
"25/01/2025 05:00:00 - 25/01/2025 06:00:00","BZN|NL","Without sequence","70.62","",""
"25/01/2025 06:00:00 - 25/01/2025 07:00:00","BZN|NL","Without sequence","72.06","",""
"25/01/2025 07:00:00 - 25/01/2025 08:00:00","BZN|NL","Without sequence","85.02","",""
"25/01/2025 08:00:00 - 25/01/2025 09:00:00","BZN|NL","Without sequence","85.55","",""
"25/01/2025 09:00:00 - 25/01/2025 10:00:00","BZN|NL","Without sequence","83.36","",""
"25/01/2025 10:00:00 - 25/01/2025 11:00:00","BZN|NL","Without sequence","87.73","",""
"25/01/2025 11:00:00 - 25/01/2025 12:00:00","BZN|NL","Without sequence","81.82","",""
"25/01/2025 12:00:00 - 25/01/2025 13:00:00","BZN|NL","Without sequence","81.98","",""
"25/01/2025 13:00:00 - 25/01/2025 14:00:00","BZN|NL","Without sequence","85.09","",""
"25/01/2025 14:00:00 - 25/01/2025 15:00:00","BZN|NL","Without sequence","103.54","",""
"25/01/2025 15:00:00 - 25/01/2025 16:00:00","BZN|NL","Without sequence","124.11","",""
"25/01/2025 16:00:00 - 25/01/2025 17:00:00","BZN|NL","Without sequence","138.6","",""
"25/01/2025 17:00:00 - 25/01/2025 18:00:00","BZN|NL","Without sequence","147.1","",""
"25/01/2025 18:00:00 - 25/01/2025 19:00:00","BZN|NL","Without sequence","144.35","",""
"25/01/2025 19:00:00 - 25/01/2025 20:00:00","BZN|NL","Without sequence","130.75","",""
"25/01/2025 20:00:00 - 25/01/2025 21:00:00","BZN|NL","Without sequence","126.75","",""
"25/01/2025 21:00:00 - 25/01/2025 22:00:00","BZN|NL","Without sequence","124.5","",""
"25/01/2025 22:00:00 - 25/01/2025 23:00:00","BZN|NL","Without sequence","114.99","",""
"25/01/2025 23:00:00 - 26/01/2025 00:00:00","BZN|NL","Without sequence","116.4","",""
"26/01/2025 00:00:00 - 26/01/2025 01:00:00","BZN|NL","Without sequence","107.47","",""
"26/01/2025 01:00:00 - 26/01/2025 02:00:00","BZN|NL","Without sequence","98.13","",""
"26/01/2025 02:00:00 - 26/01/2025 03:00:00","BZN|NL","Without sequence","97.07","",""
"26/01/2025 03:00:00 - 26/01/2025 04:00:00","BZN|NL","Without sequence","91.71","",""
"26/01/2025 04:00:00 - 26/01/2025 05:00:00","BZN|NL","Without sequence","94.96","",""
"26/01/2025 05:00:00 - 26/01/2025 06:00:00","BZN|NL","Without sequence","99.43","",""
"26/01/2025 06:00:00 - 26/01/2025 07:00:00","BZN|NL","Without sequence","105.82","",""
"26/01/2025 07:00:00 - 26/01/2025 08:00:00","BZN|NL","Without sequence","108.36","",""
"26/01/2025 08:00:00 - 26/01/2025 09:00:00","BZN|NL","Without sequence","106.2","",""
"26/01/2025 09:00:00 - 26/01/2025 10:00:00","BZN|NL","Without sequence","92.44","",""
"26/01/2025 10:00:00 - 26/01/2025 11:00:00","BZN|NL","Without sequence","98.76","",""
"26/01/2025 11:00:00 - 26/01/2025 12:00:00","BZN|NL","Without sequence","94.82","",""
"26/01/2025 12:00:00 - 26/01/2025 13:00:00","BZN|NL","Without sequence","80.0","",""
"26/01/2025 13:00:00 - 26/01/2025 14:00:00","BZN|NL","Without sequence","80.1","",""
"26/01/2025 14:00:00 - 26/01/2025 15:00:00","BZN|NL","Without sequence","95.96","",""
"26/01/2025 15:00:00 - 26/01/2025 16:00:00","BZN|NL","Without sequence","107.68","",""
"26/01/2025 16:00:00 - 26/01/2025 17:00:00","BZN|NL","Without sequence","115.49","",""
"26/01/2025 17:00:00 - 26/01/2025 18:00:00","BZN|NL","Without sequence","108.02","",""
"26/01/2025 18:00:00 - 26/01/2025 19:00:00","BZN|NL","Without sequence","81.38","",""
"26/01/2025 19:00:00 - 26/01/2025 20:00:00","BZN|NL","Without sequence","70.64","",""
"26/01/2025 20:00:00 - 26/01/2025 21:00:00","BZN|NL","Without sequence","60.75","",""
"26/01/2025 21:00:00 - 26/01/2025 22:00:00","BZN|NL","Without sequence","44.34","",""
"26/01/2025 22:00:00 - 26/01/2025 23:00:00","BZN|NL","Without sequence","22.84","",""
"26/01/2025 23:00:00 - 27/01/2025 00:00:00","BZN|NL","Without sequence","36.1","",""
"27/01/2025 00:00:00 - 27/01/2025 01:00:00","BZN|NL","Without sequence","30.35","",""
"27/01/2025 01:00:00 - 27/01/2025 02:00:00","BZN|NL","Without sequence","15.77","",""
"27/01/2025 02:00:00 - 27/01/2025 03:00:00","BZN|NL","Without sequence","12.38","",""
"27/01/2025 03:00:00 - 27/01/2025 04:00:00","BZN|NL","Without sequence","9.1","",""
"27/01/2025 04:00:00 - 27/01/2025 05:00:00","BZN|NL","Without sequence","19.4","",""
"27/01/2025 05:00:00 - 27/01/2025 06:00:00","BZN|NL","Without sequence","34.27","",""
"27/01/2025 06:00:00 - 27/01/2025 07:00:00","BZN|NL","Without sequence","54.91","",""
"27/01/2025 07:00:00 - 27/01/2025 08:00:00","BZN|NL","Without sequence","68.0","",""
"27/01/2025 08:00:00 - 27/01/2025 09:00:00","BZN|NL","Without sequence","62.96","",""
"27/01/2025 09:00:00 - 27/01/2025 10:00:00","BZN|NL","Without sequence","45.0","",""
"27/01/2025 10:00:00 - 27/01/2025 11:00:00","BZN|NL","Without sequence","38.84","",""
"27/01/2025 11:00:00 - 27/01/2025 12:00:00","BZN|NL","Without sequence","36.19","",""
"27/01/2025 12:00:00 - 27/01/2025 13:00:00","BZN|NL","Without sequence","37.61","",""
"27/01/2025 13:00:00 - 27/01/2025 14:00:00","BZN|NL","Without sequence","44.52","",""
"27/01/2025 14:00:00 - 27/01/2025 15:00:00","BZN|NL","Without sequence","74.37","",""
"27/01/2025 15:00:00 - 27/01/2025 16:00:00","BZN|NL","Without sequence","87.72","",""
"27/01/2025 16:00:00 - 27/01/2025 17:00:00","BZN|NL","Without sequence","107.2","",""
"27/01/2025 17:00:00 - 27/01/2025 18:00:00","BZN|NL","Without sequence","107.67","",""
"27/01/2025 18:00:00 - 27/01/2025 19:00:00","BZN|NL","Without sequence","93.3","",""
"27/01/2025 19:00:00 - 27/01/2025 20:00:00","BZN|NL","Without sequence","85.1","",""
"27/01/2025 20:00:00 - 27/01/2025 21:00:00","BZN|NL","Without sequence","76.64","",""
"27/01/2025 21:00:00 - 27/01/2025 22:00:00","BZN|NL","Without sequence","73.45","",""
"27/01/2025 22:00:00 - 27/01/2025 23:00:00","BZN|NL","Without sequence","60.0","",""
"27/01/2025 23:00:00 - 28/01/2025 00:00:00","BZN|NL","Without sequence","61.6","",""
"28/01/2025 00:00:00 - 28/01/2025 01:00:00","BZN|NL","Without sequence","55.73","",""
"28/01/2025 01:00:00 - 28/01/2025 02:00:00","BZN|NL","Without sequence","42.95","",""
"28/01/2025 02:00:00 - 28/01/2025 03:00:00","BZN|NL","Without sequence","51.38","",""
"28/01/2025 03:00:00 - 28/01/2025 04:00:00","BZN|NL","Without sequence","57.77","",""
"28/01/2025 04:00:00 - 28/01/2025 05:00:00","BZN|NL","Without sequence","57.07","",""
"28/01/2025 05:00:00 - 28/01/2025 06:00:00","BZN|NL","Without sequence","77.82","",""
"28/01/2025 06:00:00 - 28/01/2025 07:00:00","BZN|NL","Without sequence","103.55","",""
"28/01/2025 07:00:00 - 28/01/2025 08:00:00","BZN|NL","Without sequence","127.6","",""
"28/01/2025 08:00:00 - 28/01/2025 09:00:00","BZN|NL","Without sequence","117.47","",""
"28/01/2025 09:00:00 - 28/01/2025 10:00:00","BZN|NL","Without sequence","100.2","",""
"28/01/2025 10:00:00 - 28/01/2025 11:00:00","BZN|NL","Without sequence","98.04","",""
"28/01/2025 11:00:00 - 28/01/2025 12:00:00","BZN|NL","Without sequence","99.62","",""
"28/01/2025 12:00:00 - 28/01/2025 13:00:00","BZN|NL","Without sequence","98.31","",""
"28/01/2025 13:00:00 - 28/01/2025 14:00:00","BZN|NL","Without sequence","101.22","",""
"28/01/2025 14:00:00 - 28/01/2025 15:00:00","BZN|NL","Without sequence","113.93","",""
"28/01/2025 15:00:00 - 28/01/2025 16:00:00","BZN|NL","Without sequence","122.46","",""
"28/01/2025 16:00:00 - 28/01/2025 17:00:00","BZN|NL","Without sequence","125.0","",""
"28/01/2025 17:00:00 - 28/01/2025 18:00:00","BZN|NL","Without sequence","120.5","",""
"28/01/2025 18:00:00 - 28/01/2025 19:00:00","BZN|NL","Without sequence","117.34","",""
"28/01/2025 19:00:00 - 28/01/2025 20:00:00","BZN|NL","Without sequence","87.84","",""
"28/01/2025 20:00:00 - 28/01/2025 21:00:00","BZN|NL","Without sequence","78.31","",""
"28/01/2025 21:00:00 - 28/01/2025 22:00:00","BZN|NL","Without sequence","69.0","",""
"28/01/2025 22:00:00 - 28/01/2025 23:00:00","BZN|NL","Without sequence","55.5","",""
"28/01/2025 23:00:00 - 29/01/2025 00:00:00","BZN|NL","Without sequence","75.79","",""
"29/01/2025 00:00:00 - 29/01/2025 01:00:00","BZN|NL","Without sequence","71.91","",""
"29/01/2025 01:00:00 - 29/01/2025 02:00:00","BZN|NL","Without sequence","65.74","",""
"29/01/2025 02:00:00 - 29/01/2025 03:00:00","BZN|NL","Without sequence","59.94","",""
"29/01/2025 03:00:00 - 29/01/2025 04:00:00","BZN|NL","Without sequence","64.01","",""
"29/01/2025 04:00:00 - 29/01/2025 05:00:00","BZN|NL","Without sequence","70.23","",""
"29/01/2025 05:00:00 - 29/01/2025 06:00:00","BZN|NL","Without sequence","81.16","",""
"29/01/2025 06:00:00 - 29/01/2025 07:00:00","BZN|NL","Without sequence","126.95","",""
"29/01/2025 07:00:00 - 29/01/2025 08:00:00","BZN|NL","Without sequence","136.2","",""
"29/01/2025 08:00:00 - 29/01/2025 09:00:00","BZN|NL","Without sequence","130.45","",""
"29/01/2025 09:00:00 - 29/01/2025 10:00:00","BZN|NL","Without sequence","105.05","",""
"29/01/2025 10:00:00 - 29/01/2025 11:00:00","BZN|NL","Without sequence","89.25","",""
"29/01/2025 11:00:00 - 29/01/2025 12:00:00","BZN|NL","Without sequence","85.0","",""
"29/01/2025 12:00:00 - 29/01/2025 13:00:00","BZN|NL","Without sequence","85.53","",""
"29/01/2025 13:00:00 - 29/01/2025 14:00:00","BZN|NL","Without sequence","87.67","",""
"29/01/2025 14:00:00 - 29/01/2025 15:00:00","BZN|NL","Without sequence","102.75","",""
"29/01/2025 15:00:00 - 29/01/2025 16:00:00","BZN|NL","Without sequence","132.72","",""
"29/01/2025 16:00:00 - 29/01/2025 17:00:00","BZN|NL","Without sequence","149.57","",""
"29/01/2025 17:00:00 - 29/01/2025 18:00:00","BZN|NL","Without sequence","165.0","",""
"29/01/2025 18:00:00 - 29/01/2025 19:00:00","BZN|NL","Without sequence","148.6","",""
"29/01/2025 19:00:00 - 29/01/2025 20:00:00","BZN|NL","Without sequence","135.3","",""
"29/01/2025 20:00:00 - 29/01/2025 21:00:00","BZN|NL","Without sequence","122.1","",""
"29/01/2025 21:00:00 - 29/01/2025 22:00:00","BZN|NL","Without sequence","122.35","",""
"29/01/2025 22:00:00 - 29/01/2025 23:00:00","BZN|NL","Without sequence","100.1","",""
"29/01/2025 23:00:00 - 30/01/2025 00:00:00","BZN|NL","Without sequence","131.34","",""
"30/01/2025 00:00:00 - 30/01/2025 01:00:00","BZN|NL","Without sequence","125.79","",""
"30/01/2025 01:00:00 - 30/01/2025 02:00:00","BZN|NL","Without sequence","111.9","",""
"30/01/2025 02:00:00 - 30/01/2025 03:00:00","BZN|NL","Without sequence","104.48","",""
"30/01/2025 03:00:00 - 30/01/2025 04:00:00","BZN|NL","Without sequence","100.0","",""
"30/01/2025 04:00:00 - 30/01/2025 05:00:00","BZN|NL","Without sequence","101.09","",""
"30/01/2025 05:00:00 - 30/01/2025 06:00:00","BZN|NL","Without sequence","131.36","",""
"30/01/2025 06:00:00 - 30/01/2025 07:00:00","BZN|NL","Without sequence","149.65","",""
"30/01/2025 07:00:00 - 30/01/2025 08:00:00","BZN|NL","Without sequence","160.3","",""
"30/01/2025 08:00:00 - 30/01/2025 09:00:00","BZN|NL","Without sequence","151.49","",""
"30/01/2025 09:00:00 - 30/01/2025 10:00:00","BZN|NL","Without sequence","134.9","",""
"30/01/2025 10:00:00 - 30/01/2025 11:00:00","BZN|NL","Without sequence","123.25","",""
"30/01/2025 11:00:00 - 30/01/2025 12:00:00","BZN|NL","Without sequence","115.74","",""
"30/01/2025 12:00:00 - 30/01/2025 13:00:00","BZN|NL","Without sequence","113.3","",""
"30/01/2025 13:00:00 - 30/01/2025 14:00:00","BZN|NL","Without sequence","125.74","",""
"30/01/2025 14:00:00 - 30/01/2025 15:00:00","BZN|NL","Without sequence","142.67","",""
"30/01/2025 15:00:00 - 30/01/2025 16:00:00","BZN|NL","Without sequence","151.05","",""
"30/01/2025 16:00:00 - 30/01/2025 17:00:00","BZN|NL","Without sequence","178.09","",""
"30/01/2025 17:00:00 - 30/01/2025 18:00:00","BZN|NL","Without sequence","179.93","",""
"30/01/2025 18:00:00 - 30/01/2025 19:00:00","BZN|NL","Without sequence","161.24","",""
"30/01/2025 19:00:00 - 30/01/2025 20:00:00","BZN|NL","Without sequence","148.49","",""
"30/01/2025 20:00:00 - 30/01/2025 21:00:00","BZN|NL","Without sequence","132.59","",""
"30/01/2025 21:00:00 - 30/01/2025 22:00:00","BZN|NL","Without sequence","125.73","",""
"30/01/2025 22:00:00 - 30/01/2025 23:00:00","BZN|NL","Without sequence","120.2","",""
"30/01/2025 23:00:00 - 31/01/2025 00:00:00","BZN|NL","Without sequence","120.0","",""
"31/01/2025 00:00:00 - 31/01/2025 01:00:00","BZN|NL","Without sequence","116.49","",""
"31/01/2025 01:00:00 - 31/01/2025 02:00:00","BZN|NL","Without sequence","113.6","",""
"31/01/2025 02:00:00 - 31/01/2025 03:00:00","BZN|NL","Without sequence","111.06","",""
"31/01/2025 03:00:00 - 31/01/2025 04:00:00","BZN|NL","Without sequence","113.48","",""
"31/01/2025 04:00:00 - 31/01/2025 05:00:00","BZN|NL","Without sequence","119.2","",""
"31/01/2025 05:00:00 - 31/01/2025 06:00:00","BZN|NL","Without sequence","130.0","",""
"31/01/2025 06:00:00 - 31/01/2025 07:00:00","BZN|NL","Without sequence","155.82","",""
"31/01/2025 07:00:00 - 31/01/2025 08:00:00","BZN|NL","Without sequence","163.7","",""
"31/01/2025 08:00:00 - 31/01/2025 09:00:00","BZN|NL","Without sequence","154.82","",""
"31/01/2025 09:00:00 - 31/01/2025 10:00:00","BZN|NL","Without sequence","130.1","",""
"31/01/2025 10:00:00 - 31/01/2025 11:00:00","BZN|NL","Without sequence","126.2","",""
"31/01/2025 11:00:00 - 31/01/2025 12:00:00","BZN|NL","Without sequence","120.06","",""
"31/01/2025 12:00:00 - 31/01/2025 13:00:00","BZN|NL","Without sequence","121.19","",""
"31/01/2025 13:00:00 - 31/01/2025 14:00:00","BZN|NL","Without sequence","119.3","",""
"31/01/2025 14:00:00 - 31/01/2025 15:00:00","BZN|NL","Without sequence","144.11","",""
"31/01/2025 15:00:00 - 31/01/2025 16:00:00","BZN|NL","Without sequence","160.46","",""
"31/01/2025 16:00:00 - 31/01/2025 17:00:00","BZN|NL","Without sequence","177.13","",""
"31/01/2025 17:00:00 - 31/01/2025 18:00:00","BZN|NL","Without sequence","184.48","",""
"31/01/2025 18:00:00 - 31/01/2025 19:00:00","BZN|NL","Without sequence","178.99","",""
"31/01/2025 19:00:00 - 31/01/2025 20:00:00","BZN|NL","Without sequence","162.66","",""
"31/01/2025 20:00:00 - 31/01/2025 21:00:00","BZN|NL","Without sequence","152.7","",""
"31/01/2025 21:00:00 - 31/01/2025 22:00:00","BZN|NL","Without sequence","144.41","",""
"31/01/2025 22:00:00 - 31/01/2025 23:00:00","BZN|NL","Without sequence","131.4","",""
"31/01/2025 23:00:00 - 01/02/2025 00:00:00","BZN|NL","Without sequence","137.0","",""
"01/02/2025 00:00:00 - 01/02/2025 01:00:00","BZN|NL","Without sequence","129.48","",""
"01/02/2025 01:00:00 - 01/02/2025 02:00:00","BZN|NL","Without sequence","124.28","",""
"01/02/2025 02:00:00 - 01/02/2025 03:00:00","BZN|NL","Without sequence","118.72","",""
"01/02/2025 03:00:00 - 01/02/2025 04:00:00","BZN|NL","Without sequence","116.2","",""
"01/02/2025 04:00:00 - 01/02/2025 05:00:00","BZN|NL","Without sequence","118.22","",""
"01/02/2025 05:00:00 - 01/02/2025 06:00:00","BZN|NL","Without sequence","126.61","",""
"01/02/2025 06:00:00 - 01/02/2025 07:00:00","BZN|NL","Without sequence","144.74","",""
"01/02/2025 07:00:00 - 01/02/2025 08:00:00","BZN|NL","Without sequence","153.46","",""
"01/02/2025 08:00:00 - 01/02/2025 09:00:00","BZN|NL","Without sequence","142.44","",""
"01/02/2025 09:00:00 - 01/02/2025 10:00:00","BZN|NL","Without sequence","128.4","",""
"01/02/2025 10:00:00 - 01/02/2025 11:00:00","BZN|NL","Without sequence","120.08","",""
"01/02/2025 11:00:00 - 01/02/2025 12:00:00","BZN|NL","Without sequence","110.29","",""
"01/02/2025 12:00:00 - 01/02/2025 13:00:00","BZN|NL","Without sequence","103.4","",""
"01/02/2025 13:00:00 - 01/02/2025 14:00:00","BZN|NL","Without sequence","113.7","",""
"01/02/2025 14:00:00 - 01/02/2025 15:00:00","BZN|NL","Without sequence","126.73","",""
"01/02/2025 15:00:00 - 01/02/2025 16:00:00","BZN|NL","Without sequence","149.46","",""
"01/02/2025 16:00:00 - 01/02/2025 17:00:00","BZN|NL","Without sequence","163.39","",""
"01/02/2025 17:00:00 - 01/02/2025 18:00:00","BZN|NL","Without sequence","165.77","",""
"01/02/2025 18:00:00 - 01/02/2025 19:00:00","BZN|NL","Without sequence","162.98","",""
"01/02/2025 19:00:00 - 01/02/2025 20:00:00","BZN|NL","Without sequence","156.6","",""
"01/02/2025 20:00:00 - 01/02/2025 21:00:00","BZN|NL","Without sequence","145.24","",""
"01/02/2025 21:00:00 - 01/02/2025 22:00:00","BZN|NL","Without sequence","141.73","",""
"01/02/2025 22:00:00 - 01/02/2025 23:00:00","BZN|NL","Without sequence","131.74","",""
"01/02/2025 23:00:00 - 02/02/2025 00:00:00","BZN|NL","Without sequence","133.26","",""
"02/02/2025 00:00:00 - 02/02/2025 01:00:00","BZN|NL","Without sequence","126.91","",""
"02/02/2025 01:00:00 - 02/02/2025 02:00:00","BZN|NL","Without sequence","122.99","",""
"02/02/2025 02:00:00 - 02/02/2025 03:00:00","BZN|NL","Without sequence","120.66","",""
"02/02/2025 03:00:00 - 02/02/2025 04:00:00","BZN|NL","Without sequence","122.34","",""
"02/02/2025 04:00:00 - 02/02/2025 05:00:00","BZN|NL","Without sequence","123.41","",""
"02/02/2025 05:00:00 - 02/02/2025 06:00:00","BZN|NL","Without sequence","128.09","",""
"02/02/2025 06:00:00 - 02/02/2025 07:00:00","BZN|NL","Without sequence","135.9","",""
"02/02/2025 07:00:00 - 02/02/2025 08:00:00","BZN|NL","Without sequence","137.3","",""
"02/02/2025 08:00:00 - 02/02/2025 09:00:00","BZN|NL","Without sequence","137.7","",""
"02/02/2025 09:00:00 - 02/02/2025 10:00:00","BZN|NL","Without sequence","130.04","",""
"02/02/2025 10:00:00 - 02/02/2025 11:00:00","BZN|NL","Without sequence","129.33","",""
"02/02/2025 11:00:00 - 02/02/2025 12:00:00","BZN|NL","Without sequence","122.24","",""
"02/02/2025 12:00:00 - 02/02/2025 13:00:00","BZN|NL","Without sequence","111.88","",""
"02/02/2025 13:00:00 - 02/02/2025 14:00:00","BZN|NL","Without sequence","115.36","",""
"02/02/2025 14:00:00 - 02/02/2025 15:00:00","BZN|NL","Without sequence","124.01","",""
"02/02/2025 15:00:00 - 02/02/2025 16:00:00","BZN|NL","Without sequence","143.94","",""
"02/02/2025 16:00:00 - 02/02/2025 17:00:00","BZN|NL","Without sequence","159.44","",""
"02/02/2025 17:00:00 - 02/02/2025 18:00:00","BZN|NL","Without sequence","171.2","",""
"02/02/2025 18:00:00 - 02/02/2025 19:00:00","BZN|NL","Without sequence","173.95","",""
"02/02/2025 19:00:00 - 02/02/2025 20:00:00","BZN|NL","Without sequence","165.5","",""
"02/02/2025 20:00:00 - 02/02/2025 21:00:00","BZN|NL","Without sequence","155.77","",""
"02/02/2025 21:00:00 - 02/02/2025 22:00:00","BZN|NL","Without sequence","148.44","",""
"02/02/2025 22:00:00 - 02/02/2025 23:00:00","BZN|NL","Without sequence","133.24","",""
"02/02/2025 23:00:00 - 03/02/2025 00:00:00","BZN|NL","Without sequence","129.54","",""
"03/02/2025 00:00:00 - 03/02/2025 01:00:00","BZN|NL","Without sequence","126.63","",""
"03/02/2025 01:00:00 - 03/02/2025 02:00:00","BZN|NL","Without sequence","124.72","",""
"03/02/2025 02:00:00 - 03/02/2025 03:00:00","BZN|NL","Without sequence","120.04","",""
"03/02/2025 03:00:00 - 03/02/2025 04:00:00","BZN|NL","Without sequence","123.24","",""
"03/02/2025 04:00:00 - 03/02/2025 05:00:00","BZN|NL","Without sequence","127.77","",""
"03/02/2025 05:00:00 - 03/02/2025 06:00:00","BZN|NL","Without sequence","159.18","",""
"03/02/2025 06:00:00 - 03/02/2025 07:00:00","BZN|NL","Without sequence","207.88","",""
"03/02/2025 07:00:00 - 03/02/2025 08:00:00","BZN|NL","Without sequence","243.23","",""
"03/02/2025 08:00:00 - 03/02/2025 09:00:00","BZN|NL","Without sequence","178.04","",""
"03/02/2025 09:00:00 - 03/02/2025 10:00:00","BZN|NL","Without sequence","149.95","",""
"03/02/2025 10:00:00 - 03/02/2025 11:00:00","BZN|NL","Without sequence","125.02","",""
"03/02/2025 11:00:00 - 03/02/2025 12:00:00","BZN|NL","Without sequence","117.27","",""
"03/02/2025 12:00:00 - 03/02/2025 13:00:00","BZN|NL","Without sequence","114.93","",""
"03/02/2025 13:00:00 - 03/02/2025 14:00:00","BZN|NL","Without sequence","120.0","",""
"03/02/2025 14:00:00 - 03/02/2025 15:00:00","BZN|NL","Without sequence","127.1","",""
"03/02/2025 15:00:00 - 03/02/2025 16:00:00","BZN|NL","Without sequence","160.0","",""
"03/02/2025 16:00:00 - 03/02/2025 17:00:00","BZN|NL","Without sequence","204.71","",""
"03/02/2025 17:00:00 - 03/02/2025 18:00:00","BZN|NL","Without sequence","200.73","",""
"03/02/2025 18:00:00 - 03/02/2025 19:00:00","BZN|NL","Without sequence","201.1","",""
"03/02/2025 19:00:00 - 03/02/2025 20:00:00","BZN|NL","Without sequence","167.74","",""
"03/02/2025 20:00:00 - 03/02/2025 21:00:00","BZN|NL","Without sequence","153.0","",""
"03/02/2025 21:00:00 - 03/02/2025 22:00:00","BZN|NL","Without sequence","139.5","",""
"03/02/2025 22:00:00 - 03/02/2025 23:00:00","BZN|NL","Without sequence","135.81","",""
"03/02/2025 23:00:00 - 04/02/2025 00:00:00","BZN|NL","Without sequence","132.4","",""
"04/02/2025 00:00:00 - 04/02/2025 01:00:00","BZN|NL","Without sequence","125.54","",""
"04/02/2025 01:00:00 - 04/02/2025 02:00:00","BZN|NL","Without sequence","123.18","",""
"04/02/2025 02:00:00 - 04/02/2025 03:00:00","BZN|NL","Without sequence","123.99","",""
"04/02/2025 03:00:00 - 04/02/2025 04:00:00","BZN|NL","Without sequence","123.25","",""
"04/02/2025 04:00:00 - 04/02/2025 05:00:00","BZN|NL","Without sequence","127.63","",""
"04/02/2025 05:00:00 - 04/02/2025 06:00:00","BZN|NL","Without sequence","154.79","",""
"04/02/2025 06:00:00 - 04/02/2025 07:00:00","BZN|NL","Without sequence","149.5","",""
"04/02/2025 07:00:00 - 04/02/2025 08:00:00","BZN|NL","Without sequence","211.99","",""
"04/02/2025 08:00:00 - 04/02/2025 09:00:00","BZN|NL","Without sequence","163.31","",""
"04/02/2025 09:00:00 - 04/02/2025 10:00:00","BZN|NL","Without sequence","136.53","",""
"04/02/2025 10:00:00 - 04/02/2025 11:00:00","BZN|NL","Without sequence","125.0","",""
"04/02/2025 11:00:00 - 04/02/2025 12:00:00","BZN|NL","Without sequence","109.45","",""
"04/02/2025 12:00:00 - 04/02/2025 13:00:00","BZN|NL","Without sequence","113.06","",""
"04/02/2025 13:00:00 - 04/02/2025 14:00:00","BZN|NL","Without sequence","120.09","",""
"04/02/2025 14:00:00 - 04/02/2025 15:00:00","BZN|NL","Without sequence","119.15","",""
"04/02/2025 15:00:00 - 04/02/2025 16:00:00","BZN|NL","Without sequence","117.0","",""
"04/02/2025 16:00:00 - 04/02/2025 17:00:00","BZN|NL","Without sequence","149.6","",""
"04/02/2025 17:00:00 - 04/02/2025 18:00:00","BZN|NL","Without sequence","175.0","",""
"04/02/2025 18:00:00 - 04/02/2025 19:00:00","BZN|NL","Without sequence","140.0","",""
"04/02/2025 19:00:00 - 04/02/2025 20:00:00","BZN|NL","Without sequence","132.54","",""
