"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|NL","Without sequence","86.0","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|NL","Without sequence","112.64","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|NL","Without sequence","134.51","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|NL","Without sequence","100.0","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|NL","Without sequence","86.6","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|NL","Without sequence","83.8","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|NL","Without sequence","97.2","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|NL","Without sequence","117.05","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|NL","Without sequence","149.99","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|NL","Without sequence","125.8","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|NL","Without sequence","149.93","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|NL","Without sequence","133.2","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|NL","Without sequence","124.3","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|NL","Without sequence","125.0","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|NL","Without sequence","155.2","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|NL","Without sequence","133.2","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|NL","Without sequence","192.7","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|NL","Without sequence","136.4","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|NL","Without sequence","130.39","",""
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|NL","Without sequence","106.7","",""
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|NL","Without sequence","99.0","",""
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|NL","Without sequence","96.09","",""
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|NL","Without sequence","102.22","",""
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|NL","Without sequence","110.7","",""
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|NL","Without sequence","120.02","",""
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|NL","Without sequence","128.39","",""
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|NL","Without sequence","130.75","",""
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|NL","Without sequence","130.34","",""
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|NL","Without sequence","128.29","",""
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|NL","Without sequence","130.03","",""
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|NL","Without sequence","129.85","",""
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|NL","Without sequence","136.4","",""
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|NL","Without sequence","138.76","",""
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|NL","Without sequence","141.2","",""
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|NL","Without sequence","149.83","",""
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|NL","Without sequence","144.17","",""
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|NL","Without sequence","138.38","",""
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|NL","Without sequence","129.73","",""
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|NL","Without sequence","123.07","",""
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|NL","Without sequence","118.54","",""
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|NL","Without sequence","109.61","",""
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|NL","Without sequence","111.61","",""
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|NL","Without sequence","94.76","",""
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|NL","Without sequence","85.62","",""
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|NL","Without sequence","82.94","",""
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|NL","Without sequence","74.73","",""
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|NL","Without sequence","67.0","",""
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|NL","Without sequence","65.67","",""
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|NL","Without sequence","64.22","",""
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|NL","Without sequence","75.5","",""
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|NL","Without sequence","75.7","",""
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|NL","Without sequence","82.95","",""
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|NL","Without sequence","80.02","",""
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|NL","Without sequence","81.66","",""
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|NL","Without sequence","65.32","",""
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|NL","Without sequence","59.67","",""
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|NL","Without sequence","49.98","",""
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|NL","Without sequence","49.91","",""
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|NL","Without sequence","63.23","",""
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|NL","Without sequence","61.13","",""
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|NL","Without sequence","52.08","",""
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|NL","Without sequence","40.88","",""
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|NL","Without sequence","39.0","",""
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|NL","Without sequence","32.48","",""
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|NL","Without sequence","20.36","",""
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|NL","Without sequence","25.99","",""
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|NL","Without sequence","9.65","",""
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|NL","Without sequence","6.2","",""
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|NL","Without sequence","2.77","",""
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|NL","Without sequence","1.97","",""
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|NL","Without sequence","3.69","",""
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|NL","Without sequence","10.0","",""
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|NL","Without sequence","45.54","",""
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|NL","Without sequence","72.0","",""
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|NL","Without sequence","77.03","",""
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|NL","Without sequence","60.0","",""
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|NL","Without sequence","40.28","",""
"06/01/2025 11:00:00 - 06/01/2025 12:00:00","BZN|NL","Without sequence","42.06","",""
"06/01/2025 12:00:00 - 06/01/2025 13:00:00","BZN|NL","Without sequence","45.06","",""
"06/01/2025 13:00:00 - 06/01/2025 14:00:00","BZN|NL","Without sequence","64.57","",""
"06/01/2025 14:00:00 - 06/01/2025 15:00:00","BZN|NL","Without sequence","77.94","",""
"06/01/2025 15:00:00 - 06/01/2025 16:00:00","BZN|NL","Without sequence","77.92","",""
"06/01/2025 16:00:00 - 06/01/2025 17:00:00","BZN|NL","Without sequence","102.91","",""
"06/01/2025 17:00:00 - 06/01/2025 18:00:00","BZN|NL","Without sequence","126.66","",""
"06/01/2025 18:00:00 - 06/01/2025 19:00:00","BZN|NL","Without sequence","119.95","",""
"06/01/2025 19:00:00 - 06/01/2025 20:00:00","BZN|NL","Without sequence","99.9","",""
"06/01/2025 20:00:00 - 06/01/2025 21:00:00","BZN|NL","Without sequence","79.94","",""
"06/01/2025 21:00:00 - 06/01/2025 22:00:00","BZN|NL","Without sequence","73.43","",""
"06/01/2025 22:00:00 - 06/01/2025 23:00:00","BZN|NL","Without sequence","50.96","",""
"06/01/2025 23:00:00 - 07/01/2025 00:00:00","BZN|NL","Without sequence","19.51","",""
"07/01/2025 00:00:00 - 07/01/2025 01:00:00","BZN|NL","Without sequence","8.71","",""
"07/01/2025 01:00:00 - 07/01/2025 02:00:00","BZN|NL","Without sequence","8.9","",""
"07/01/2025 02:00:00 - 07/01/2025 03:00:00","BZN|NL","Without sequence","5.01","",""
"07/01/2025 03:00:00 - 07/01/2025 04:00:00","BZN|NL","Without sequence","5.13","",""
"07/01/2025 04:00:00 - 07/01/2025 05:00:00","BZN|NL","Without sequence","5.8","",""
"07/01/2025 05:00:00 - 07/01/2025 06:00:00","BZN|NL","Without sequence","60.0","",""
"07/01/2025 06:00:00 - 07/01/2025 07:00:00","BZN|NL","Without sequence","116.56","",""
"07/01/2025 07:00:00 - 07/01/2025 08:00:00","BZN|NL","Without sequence","165.98","",""
"07/01/2025 08:00:00 - 07/01/2025 09:00:00","BZN|NL","Without sequence","138.5","",""
"07/01/2025 09:00:00 - 07/01/2025 10:00:00","BZN|NL","Without sequence","110.74","",""
"07/01/2025 10:00:00 - 07/01/2025 11:00:00","BZN|NL","Without sequence","79.95","",""
"07/01/2025 11:00:00 - 07/01/2025 12:00:00","BZN|NL","Without sequence","70.1","",""
"07/01/2025 12:00:00 - 07/01/2025 13:00:00","BZN|NL","Without sequence","67.33","",""
"07/01/2025 13:00:00 - 07/01/2025 14:00:00","BZN|NL","Without sequence","75.0","",""
"07/01/2025 14:00:00 - 07/01/2025 15:00:00","BZN|NL","Without sequence","84.9","",""
"07/01/2025 15:00:00 - 07/01/2025 16:00:00","BZN|NL","Without sequence","125.58","",""
"07/01/2025 16:00:00 - 07/01/2025 17:00:00","BZN|NL","Without sequence","160.7","",""
"07/01/2025 17:00:00 - 07/01/2025 18:00:00","BZN|NL","Without sequence","173.86","",""
"07/01/2025 18:00:00 - 07/01/2025 19:00:00","BZN|NL","Without sequence","127.5","",""
"07/01/2025 19:00:00 - 07/01/2025 20:00:00","BZN|NL","Without sequence","102.9","",""
"07/01/2025 20:00:00 - 07/01/2025 21:00:00","BZN|NL","Without sequence","97.6","",""
"07/01/2025 21:00:00 - 07/01/2025 22:00:00","BZN|NL","Without sequence","82.2","",""
"07/01/2025 22:00:00 - 07/01/2025 23:00:00","BZN|NL","Without sequence","80.01","",""
"07/01/2025 23:00:00 - 08/01/2025 00:00:00","BZN|NL","Without sequence","66.19","",""
"08/01/2025 00:00:00 - 08/01/2025 01:00:00","BZN|NL","Without sequence","52.96","",""
"08/01/2025 01:00:00 - 08/01/2025 02:00:00","BZN|NL","Without sequence","50.17","",""
"08/01/2025 02:00:00 - 08/01/2025 03:00:00","BZN|NL","Without sequence","49.9","",""
"08/01/2025 03:00:00 - 08/01/2025 04:00:00","BZN|NL","Without sequence","52.8","",""
"08/01/2025 04:00:00 - 08/01/2025 05:00:00","BZN|NL","Without sequence","68.93","",""
"08/01/2025 05:00:00 - 08/01/2025 06:00:00","BZN|NL","Without sequence","75.1","",""
"08/01/2025 06:00:00 - 08/01/2025 07:00:00","BZN|NL","Without sequence","120.46","",""
"08/01/2025 07:00:00 - 08/01/2025 08:00:00","BZN|NL","Without sequence","141.04","",""
"08/01/2025 08:00:00 - 08/01/2025 09:00:00","BZN|NL","Without sequence","146.77","",""
"08/01/2025 09:00:00 - 08/01/2025 10:00:00","BZN|NL","Without sequence","125.6","",""
"08/01/2025 10:00:00 - 08/01/2025 11:00:00","BZN|NL","Without sequence","108.63","",""
"08/01/2025 11:00:00 - 08/01/2025 12:00:00","BZN|NL","Without sequence","105.87","",""
"08/01/2025 12:00:00 - 08/01/2025 13:00:00","BZN|NL","Without sequence","102.37","",""
"08/01/2025 13:00:00 - 08/01/2025 14:00:00","BZN|NL","Without sequence","110.28","",""
"08/01/2025 14:00:00 - 08/01/2025 15:00:00","BZN|NL","Without sequence","127.97","",""
"08/01/2025 15:00:00 - 08/01/2025 16:00:00","BZN|NL","Without sequence","137.31","",""
"08/01/2025 16:00:00 - 08/01/2025 17:00:00","BZN|NL","Without sequence","157.35","",""
"08/01/2025 17:00:00 - 08/01/2025 18:00:00","BZN|NL","Without sequence","162.0","",""
"08/01/2025 18:00:00 - 08/01/2025 19:00:00","BZN|NL","Without sequence","146.66","",""
"08/01/2025 19:00:00 - 08/01/2025 20:00:00","BZN|NL","Without sequence","134.87","",""
"08/01/2025 20:00:00 - 08/01/2025 21:00:00","BZN|NL","Without sequence","125.11","",""
"08/01/2025 21:00:00 - 08/01/2025 22:00:00","BZN|NL","Without sequence","114.4","",""
"08/01/2025 22:00:00 - 08/01/2025 23:00:00","BZN|NL","Without sequence","100.5","",""
"08/01/2025 23:00:00 - 09/01/2025 00:00:00","BZN|NL","Without sequence","99.98","",""
"09/01/2025 00:00:00 - 09/01/2025 01:00:00","BZN|NL","Without sequence","100.0","",""
"09/01/2025 01:00:00 - 09/01/2025 02:00:00","BZN|NL","Without sequence","92.46","",""
"09/01/2025 02:00:00 - 09/01/2025 03:00:00","BZN|NL","Without sequence","85.1","",""
"09/01/2025 03:00:00 - 09/01/2025 04:00:00","BZN|NL","Without sequence","84.64","",""
"09/01/2025 04:00:00 - 09/01/2025 05:00:00","BZN|NL","Without sequence","90.77","",""
"09/01/2025 05:00:00 - 09/01/2025 06:00:00","BZN|NL","Without sequence","121.04","",""
"09/01/2025 06:00:00 - 09/01/2025 07:00:00","BZN|NL","Without sequence","141.9","",""
"09/01/2025 07:00:00 - 09/01/2025 08:00:00","BZN|NL","Without sequence","152.28","",""
"09/01/2025 08:00:00 - 09/01/2025 09:00:00","BZN|NL","Without sequence","145.41","",""
"09/01/2025 09:00:00 - 09/01/2025 10:00:00","BZN|NL","Without sequence","138.91","",""
"09/01/2025 10:00:00 - 09/01/2025 11:00:00","BZN|NL","Without sequence","131.91","",""
"09/01/2025 11:00:00 - 09/01/2025 12:00:00","BZN|NL","Without sequence","122.39","",""
"09/01/2025 12:00:00 - 09/01/2025 13:00:00","BZN|NL","Without sequence","114.85","",""
"09/01/2025 13:00:00 - 09/01/2025 14:00:00","BZN|NL","Without sequence","116.27","",""
"09/01/2025 14:00:00 - 09/01/2025 15:00:00","BZN|NL","Without sequence","121.29","",""
"09/01/2025 15:00:00 - 09/01/2025 16:00:00","BZN|NL","Without sequence","122.0","",""
"09/01/2025 16:00:00 - 09/01/2025 17:00:00","BZN|NL","Without sequence","131.07","",""
"09/01/2025 17:00:00 - 09/01/2025 18:00:00","BZN|NL","Without sequence","134.52","",""
"09/01/2025 18:00:00 - 09/01/2025 19:00:00","BZN|NL","Without sequence","112.95","",""
"09/01/2025 19:00:00 - 09/01/2025 20:00:00","BZN|NL","Without sequence","119.23","",""
"09/01/2025 20:00:00 - 09/01/2025 21:00:00","BZN|NL","Without sequence","105.17","",""
"09/01/2025 21:00:00 - 09/01/2025 22:00:00","BZN|NL","Without sequence","100.92","",""
"09/01/2025 22:00:00 - 09/01/2025 23:00:00","BZN|NL","Without sequence","80.01","",""
"09/01/2025 23:00:00 - 10/01/2025 00:00:00","BZN|NL","Without sequence","90.97","",""
"10/01/2025 00:00:00 - 10/01/2025 01:00:00","BZN|NL","Without sequence","80.23","",""
"10/01/2025 01:00:00 - 10/01/2025 02:00:00","BZN|NL","Without sequence","71.4","",""
"10/01/2025 02:00:00 - 10/01/2025 03:00:00","BZN|NL","Without sequence","69.2","",""
"10/01/2025 03:00:00 - 10/01/2025 04:00:00","BZN|NL","Without sequence","69.92","",""
"10/01/2025 04:00:00 - 10/01/2025 05:00:00","BZN|NL","Without sequence","84.17","",""
"10/01/2025 05:00:00 - 10/01/2025 06:00:00","BZN|NL","Without sequence","99.09","",""
"10/01/2025 06:00:00 - 10/01/2025 07:00:00","BZN|NL","Without sequence","123.92","",""
"10/01/2025 07:00:00 - 10/01/2025 08:00:00","BZN|NL","Without sequence","139.69","",""
"10/01/2025 08:00:00 - 10/01/2025 09:00:00","BZN|NL","Without sequence","136.98","",""
"10/01/2025 09:00:00 - 10/01/2025 10:00:00","BZN|NL","Without sequence","123.57","",""
"10/01/2025 10:00:00 - 10/01/2025 11:00:00","BZN|NL","Without sequence","113.59","",""
"10/01/2025 11:00:00 - 10/01/2025 12:00:00","BZN|NL","Without sequence","107.43","",""
"10/01/2025 12:00:00 - 10/01/2025 13:00:00","BZN|NL","Without sequence","105.01","",""
"10/01/2025 13:00:00 - 10/01/2025 14:00:00","BZN|NL","Without sequence","110.01","",""
"10/01/2025 14:00:00 - 10/01/2025 15:00:00","BZN|NL","Without sequence","128.69","",""
"10/01/2025 15:00:00 - 10/01/2025 16:00:00","BZN|NL","Without sequence","135.01","",""
"10/01/2025 16:00:00 - 10/01/2025 17:00:00","BZN|NL","Without sequence","142.6","",""
"10/01/2025 17:00:00 - 10/01/2025 18:00:00","BZN|NL","Without sequence","144.15","",""
"10/01/2025 18:00:00 - 10/01/2025 19:00:00","BZN|NL","Without sequence","141.1","",""
"10/01/2025 19:00:00 - 10/01/2025 20:00:00","BZN|NL","Without sequence","134.82","",""
"10/01/2025 20:00:00 - 10/01/2025 21:00:00","BZN|NL","Without sequence","122.51","",""
"10/01/2025 21:00:00 - 10/01/2025 22:00:00","BZN|NL","Without sequence","119.77","",""
"10/01/2025 22:00:00 - 10/01/2025 23:00:00","BZN|NL","Without sequence","111.74","",""
"10/01/2025 23:00:00 - 11/01/2025 00:00:00","BZN|NL","Without sequence","118.88","",""
"11/01/2025 00:00:00 - 11/01/2025 01:00:00","BZN|NL","Without sequence","104.09","",""
"11/01/2025 01:00:00 - 11/01/2025 02:00:00","BZN|NL","Without sequence","97.4","",""
"11/01/2025 02:00:00 - 11/01/2025 03:00:00","BZN|NL","Without sequence","95.8","",""
"11/01/2025 03:00:00 - 11/01/2025 04:00:00","BZN|NL","Without sequence","95.0","",""
"11/01/2025 04:00:00 - 11/01/2025 05:00:00","BZN|NL","Without sequence","98.61","",""
"11/01/2025 05:00:00 - 11/01/2025 06:00:00","BZN|NL","Without sequence","105.1","",""
"11/01/2025 06:00:00 - 11/01/2025 07:00:00","BZN|NL","Without sequence","119.9","",""
"11/01/2025 07:00:00 - 11/01/2025 08:00:00","BZN|NL","Without sequence","128.34","",""
"11/01/2025 08:00:00 - 11/01/2025 09:00:00","BZN|NL","Without sequence","141.93","",""
