Model,MAE,RMSE,MAPE,sMAPE,AIC,Execution Time,Comments
Linear Regression,4846764.524615092,5679992.706695586,71.58935501834148,48.35075685166164,163646.98945111907,0.014138936996459961,Initial run for all models
Naive Model,4677694.454666413,5879253.072688134,54.08934356917657,47.45163735688661,163646.98945111907,0.003961801528930664,Initial run for all models
"ARIMA (1,1,1)",6707939.06135644,8665300.247537846,53.00741277317114,78.37094200052431,623680.3079335078,1.8664929866790771,Initial run for all models
"SARIMAX (1,1,3)",5336288.817142625,7154794.634280329,45.58471400668443,55.43635802047244,622936.2085193906,5.506709814071655,Initial run for all models
LASSO,4846764.524615092,5679992.706695586,71.58935501834148,48.35075685166164,163646.98945111907,0.06547093391418457,Initial run for all models
Decision Tree,4683792.987835012,5623615.811280621,62.91726184156704,47.26779319763274,163646.98945111907,0.04145216941833496,Initial run for all models
Random Forest,4655744.813533549,5672236.919746468,59.65097151842722,47.10463754709404,163646.98945111907,496.0110080242157,Initial run for all models
XGBoost,458304.1875,635856.3331571055,4.136055070881521,4.14920346545948,34107.68152902147,0.4664278030395508,Initial run for all models
LSTM,10290599.07764284,11643760.307625158,inf,199.99998432411502,171152.81563136258,317.72589898109436,Initial run for all models
