Model,MAE,RMSE,MAPE,sMAPE,AIC,Execution Time,Comments
Linear Regression,4693590.628877738,5513835.147852449,70.12433384126643,47.17916009082064,136107.6558921646,0.006146907806396484,With Time Series Split
Naive Model,4581184.024863139,5879862.632938915,49.747321072877234,46.95968914874955,136107.6558921646,0.00021719932556152344,With Time Series Split
"ARIMA (1,1,1)",5512123.45758698,6393478.123855737,92.50056994436848,52.26534263935275,650761.4017679277,1.9593417644500732,With Time Series Split
"SARIMAX (1,1,3)",5023410.088003303,5838692.0355788,80.64276706254877,49.31089608363261,649991.4743619405,4.2770209312438965,With Time Series Split
LASSO,4693590.628877738,5513835.147852449,70.12433384126643,47.17916009082064,136107.6558921646,0.06095409393310547,With Time Series Split
Decision Tree,4578736.809078467,5435265.222654436,65.0450437750758,46.401343997669024,136107.6558921646,0.03624606132507324,With Time Series Split
Random Forest,4732707.634808394,6207118.000519057,46.99981839383349,48.69231050512807,136107.6558921646,778.6858949661255,With Time Series Split
XGBoost,458304.1875,635856.3331571055,4.136055070881521,4.14920346545948,34107.68152902147,0.43346524238586426,With Time Series Split
LSTM,10532491.014180204,11940248.136773914,inf,199.99998464052337,171417.2849454384,401.29969215393066,With Time Series Split
