TrainStart,TrainEnd,TestStart,TestEnd,MAE,MSE,RMSE,R2
2025-02-28,2025-03-06,2025-03-07,2025-03-09,0.10426519985962343,0.01176735438573668,0.10847743721962037,-5.246075117796596
2025-03-01,2025-03-07,2025-03-08,2025-03-10,0.03907700657015362,0.002071475230796565,0.04551346208317453,0.01068671957758971
2025-03-02,2025-03-08,2025-03-09,2025-03-11,0.013586926872799752,0.00028733355137553905,0.01695091594503197,0.8344855606232233
2025-03-03,2025-03-09,2025-03-10,2025-03-12,0.07548510813274759,0.006283231851727089,0.07926683954673032,-9.205131722804424
2025-03-04,2025-03-10,2025-03-11,2025-03-13,0.3153513770070106,0.10334756390106879,0.32147715922141157,-170.5486378250808
2025-03-05,2025-03-11,2025-03-12,2025-03-14,0.9798031391960516,1.0607454579177742,1.0299249768394658,-1735.8914526563258
