run,start,end,mae,mse,rmse,r2
1,2025-05-11 12:00:00,2025-05-16 12:00:00,0.08276111608630955,0.008675952794495812,0.09314479477939608,-0.4595512095849521
2,2025-05-12 12:00:00,2025-05-17 12:00:00,0.07245843676947072,0.0070206716247874475,0.08378944817092095,-1.1126536473929791
3,2025-05-13 12:00:00,2025-05-18 12:00:00,0.05794746629020318,0.004598962383241883,0.06781564998760893,-0.46155895585863016
4,2025-05-14 12:00:00,2025-05-19 12:00:00,0.048042094647063605,0.002787375321896148,0.052795599455789384,0.03411048195977784
5,2025-05-15 12:00:00,2025-05-20 12:00:00,0.05312774727301212,0.0033202036651453666,0.057621208466547856,-0.20009803411837002
6,2025-05-16 12:00:00,2025-05-21 12:00:00,0.07059458971826874,0.006880094168948684,0.08294633306511315,-1.6111231533521964
