ds,actual,predicted,window_start,window_end
2025-04-20 16:00:00,0.08136,0.060887699503019865,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 17:00:00,0.10681,0.09081666587785076,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 18:00:00,0.12692,0.1101089902925162,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 19:00:00,0.14495,0.1301631251249029,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 20:00:00,0.14599,0.10861433372057061,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 21:00:00,0.12249,0.10029749243152619,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 22:00:00,0.11001,0.09177941170241366,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-20 23:00:00,0.1106299999999999,0.09754604299763936,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 00:00:00,0.09543,0.0809351496826749,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 01:00:00,0.09862,0.0729714594720624,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 02:00:00,0.1,0.07076270987076216,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 03:00:00,0.09798,0.06726802905661666,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 04:00:00,0.1,0.07215318485548883,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 05:00:00,0.10065,0.08555689912084952,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 06:00:00,0.09465,0.08701321364939119,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 07:00:00,0.0912999999999999,0.09262502158442198,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 08:00:00,0.0927099999999999,0.09240251811421174,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 09:00:00,0.06808,0.08710714061136937,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 10:00:00,0.04,0.0864659257312066,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 11:00:00,0.0155199999999999,0.05826706206369159,2025-04-18 12:00:00,2025-04-23 12:00:00
