validfrom (UTC),validto (UTC),point,type,granularity,timezone,activity,classification,capacity (kW),volume (kWh),percentage,emission (kg CO2),emissionfactor (kg CO2/kWh)
12/31/23 23:00,1/1/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12235880,12235880,0.385399014,903713,0.073857874
1/1/24 0:00,1/1/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12369942,12369942,0.389616489,903172,0.073013522
1/1/24 1:00,1/1/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12380739,12380739,0.389951497,906582,0.073224798
1/1/24 2:00,1/1/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12461369,12461369,0.392486006,903571,0.072509974
1/1/24 3:00,1/1/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12446451,12446451,0.392011255,892445,0.071702354
1/1/24 4:00,1/1/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12448166,12448166,0.392060012,913514,0.073385328
1/1/24 5:00,1/1/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12135273,12135273,0.382200509,918464,0.075697623
1/1/24 6:00,1/1/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12185027,12185027,0.383762509,963555,0.079074726
1/1/24 7:00,1/1/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12343846,12343846,0.388759494,967539,0.078387327
1/1/24 8:00,1/1/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12572124,12572124,0.395943493,980802,0.078018896
1/1/24 9:00,1/1/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13254772,13254772,0.417437494,1010230,0.076226801
1/1/24 10:00,1/1/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14227858,14227858,0.448077261,995126,0.0699891
1/1/24 11:00,1/1/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14775979,14775979,0.465333492,971543,0.065751672
1/1/24 12:00,1/1/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15338913,15338913,0.483054996,972892,0.063430347
1/1/24 13:00,1/1/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15084424,15084424,0.475034744,979428,0.064942598
1/1/24 14:00,1/1/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13991860,13991860,0.44062224,1019177,0.073058926
1/1/24 15:00,1/1/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11440901,11440901,0.360284507,1096512,0.096202597
1/1/24 16:00,1/1/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10816787,10816787,0.34062624,1293570,0.119592749
1/1/24 17:00,1/1/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10250338,10250338,0.322784007,1165094,0.113654003
1/1/24 18:00,1/1/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9508416,9508416,0.299416989,1098126,0.11552275
1/1/24 19:00,1/1/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9056135,9056135,0.285171002,1125646,0.124294251
1/1/24 20:00,1/1/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9416847,9416847,0.296526253,1028041,0.10917075
1/1/24 21:00,1/1/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9058466,9058466,0.285237014,945628,0.104387
1/1/24 22:00,1/1/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9188659,9188659,0.289332986,920389,0.100178972
1/1/24 23:00,1/2/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9052560,9052560,0.285043746,890959,0.098419823
1/2/24 0:00,1/2/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9265110,9265110,0.291732758,863712,0.093264073
1/2/24 1:00,1/2/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10232659,10232659,0.32219401,889508,0.086950347
1/2/24 2:00,1/2/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10718119,10718119,0.337475002,894235,0.083432928
1/2/24 3:00,1/2/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11184146,11184146,0.352144241,915839,0.081891596
1/2/24 4:00,1/2/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11776807,11776807,0.370799989,1007657,0.085551202
1/2/24 5:00,1/2/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11514421,11514421,0.362533748,1068170,0.092769772
1/2/24 6:00,1/2/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12232606,12232606,0.385140985,1151476,0.094134197
1/2/24 7:00,1/2/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12303163,12303163,0.387357503,1234889,0.1003723
1/2/24 8:00,1/2/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12159661,12159661,0.382834494,1257697,0.103421248
1/2/24 9:00,1/2/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11918911,11918911,0.375250012,1277840,0.107244499
1/2/24 10:00,1/2/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11988226,11988226,0.37742725,1377119,0.114870749
1/2/24 11:00,1/2/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12080941,12080941,0.380341262,1543576,0.127783254
1/2/24 12:00,1/2/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11641310,11641310,0.366495758,1676096,0.144060001
1/2/24 13:00,1/2/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11397590,11397590,0.358818263,1652580,0.145006493
1/2/24 14:00,1/2/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11312682,11312682,0.356140763,1651710,0.146020502
1/2/24 15:00,1/2/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11724500,11724500,0.369100243,1647430,0.140575007
1/2/24 16:00,1/2/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12036069,12036069,0.378903747,1663310,0.138197497
1/2/24 17:00,1/2/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12330235,12330235,0.388159513,1542651,0.125106007
1/2/24 18:00,1/2/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10465917,10465917,0.329465985,1298866,0.124601498
1/2/24 19:00,1/2/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9832611,9832611,0.30952549,1325437,0.134779006
1/2/24 20:00,1/2/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9833708,9833708,0.309556246,1250814,0.127193749
1/2/24 21:00,1/2/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9880237,9880237,0.311016738,1245771,0.126089752
1/2/24 22:00,1/2/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10046996,10046996,0.316262007,1236341,0.123037748
1/2/24 23:00,1/3/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8910095,8910095,0.280470759,1009079,0.113234252
1/3/24 0:00,1/3/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8557194,8557194,0.269358486,973278,0.113734752
1/3/24 1:00,1/3/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9307598,9307598,0.292975485,905007,0.097745351
1/3/24 2:00,1/3/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10899389,10899389,0.343075991,899792,0.082602151
1/3/24 3:00,1/3/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11008402,11008402,0.346502751,907835,0.082466848
1/3/24 4:00,1/3/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11399496,11399496,0.358808488,931757,0.081793353
1/3/24 5:00,1/3/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12662140,12662140,0.39854601,1020652,0.080596074
1/3/24 6:00,1/3/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13124835,13124835,0.413103998,1118323,0.085205473
1/3/24 7:00,1/3/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13384652,13384652,0.42127651,1244534,0.092979148
1/3/24 8:00,1/3/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13581465,13581465,0.427465737,1266416,0.093246303
1/3/24 9:00,1/3/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14310265,14310265,0.450397998,1295045,0.090549096
1/3/24 10:00,1/3/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15614083,15614083,0.491427749,1314788,0.084206924
1/3/24 11:00,1/3/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15945254,15945254,0.501844227,1279622,0.080253728
1/3/24 12:00,1/3/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,16052454,16052454,0.505211473,1299195,0.080925174
1/3/24 13:00,1/3/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15747598,15747598,0.495610744,1372975,0.087248027
1/3/24 14:00,1/3/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14442490,14442490,0.454530507,1625135,0.112935998
1/3/24 15:00,1/3/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12490462,12490462,0.3930915,1844459,0.147952497
1/3/24 16:00,1/3/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11422520,11422520,0.359477252,1978380,0.173335999
1/3/24 17:00,1/3/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10306562,10306562,0.324352741,2019899,0.196082756
1/3/24 18:00,1/3/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9855258,9855258,0.310146004,1974967,0.200392246
1/3/24 19:00,1/3/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9395162,9395162,0.295662761,1750284,0.186289251
1/3/24 20:00,1/3/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9184190,9184190,0.289019763,1622156,0.176614255
1/3/24 21:00,1/3/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9127767,9127767,0.287240744,1550519,0.169868499
1/3/24 22:00,1/3/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9009836,9009836,0.283525735,1394761,0.154806495
1/3/24 23:00,1/4/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9206123,9206123,0.289698988,1371914,0.149050251
1/4/24 0:00,1/4/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9283674,9283674,0.292135507,1244291,0.134058505
1/4/24 1:00,1/4/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9082665,9082665,0.285806239,1188378,0.130861998
1/4/24 2:00,1/4/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8852055,8852055,0.278546244,1167284,0.131873503
1/4/24 3:00,1/4/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8524102,8524102,0.268223256,1234643,0.144918501
1/4/24 4:00,1/4/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8287542,8287542,0.260776013,1484101,0.179047748
1/4/24 5:00,1/4/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8801497,8801497,0.276944488,1894666,0.215159506
1/4/24 6:00,1/4/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10185634,10185634,0.320493013,2468740,0.242254257
1/4/24 7:00,1/4/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11216191,11216191,0.352915257,3028455,0.269879252
1/4/24 8:00,1/4/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12221419,12221419,0.384539515,3489919,0.285566002
1/4/24 9:00,1/4/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13546305,13546305,0.426220745,3699925,0.273223996
1/4/24 10:00,1/4/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14567130,14567130,0.458333999,3767258,0.258626014
1/4/24 11:00,1/4/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14504369,14504369,0.456353486,3742262,0.258020997
1/4/24 12:00,1/4/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14596890,14596890,0.459258497,3777245,0.25879699
1/4/24 13:00,1/4/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15205550,15205550,0.478402495,4176068,0.274628252
1/4/24 14:00,1/4/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15166876,15166876,0.477179497,4607976,0.303900003
1/4/24 15:00,1/4/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13941032,13941032,0.438606501,4666889,0.334869504
1/4/24 16:00,1/4/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14252727,14252727,0.448406994,4932595,0.346078753
1/4/24 17:00,1/4/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14538229,14538229,0.457383007,4932531,0.339298487
1/4/24 18:00,1/4/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14809022,14809022,0.465896755,4846019,0.327251762
1/4/24 19:00,1/4/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14912442,14912442,0.469143987,4599092,0.308385015
1/4/24 20:00,1/4/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15040083,15040083,0.47315374,4342990,0.288760513
1/4/24 21:00,1/4/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13684570,13684570,0.430504262,3587424,0.261987001
1/4/24 22:00,1/4/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12128238,12128238,0.38153851,2662484,0.219438002
1/4/24 23:00,1/5/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12551235,12551235,0.39484024,2526455,0.201333255
1/5/24 0:00,1/5/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12396314,12396314,0.389961749,2067815,0.166751504
1/5/24 1:00,1/5/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11853640,11853640,0.372885495,1800256,0.151841506
1/5/24 2:00,1/5/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11785282,11785282,0.370730489,1728814,0.146697253
1/5/24 3:00,1/5/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11976675,11976675,0.376746237,1738769,0.145179749
1/5/24 4:00,1/5/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12395819,12395819,0.389925987,1967892,0.158727497
1/5/24 5:00,1/5/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12984396,12984396,0.408434987,2339926,0.180232748
1/5/24 6:00,1/5/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14216982,14216982,0.44720149,2842970,0.199922755
1/5/24 7:00,1/5/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15173428,15173428,0.477280498,3251380,0.214315504
1/5/24 8:00,1/5/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15267856,15267856,0.480244756,3587188,0.234947503
1/5/24 9:00,1/5/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15743478,15743478,0.495198756,3770237,0.239470243
1/5/24 10:00,1/5/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15805041,15805041,0.497128755,3857851,0.244090497
1/5/24 11:00,1/5/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15829358,15829358,0.497886747,3921363,0.247729257
1/5/24 12:00,1/5/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15502147,15502147,0.487589002,3828364,0.246988252
1/5/24 13:00,1/5/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15649110,15649110,0.492204994,3904617,0.249518499
1/5/24 14:00,1/5/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14711773,14711773,0.462717265,3935576,0.267577261
1/5/24 15:00,1/5/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14217326,14217326,0.447159737,3868688,0.272115737
1/5/24 16:00,1/5/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13796642,13796642,0.433923006,3693197,0.267685264
1/5/24 17:00,1/5/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13903705,13903705,0.437284738,3777077,0.271660239
1/5/24 18:00,1/5/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13832640,13832640,0.435043991,3718548,0.268806994
1/5/24 19:00,1/5/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13708021,13708021,0.431118995,3557910,0.259551495
1/5/24 20:00,1/5/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13298613,13298613,0.418237746,3296742,0.247903496
1/5/24 21:00,1/5/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12855758,12855758,0.404305011,3089397,0.240280494
1/5/24 22:00,1/5/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11554788,11554788,0.363385737,2633415,0.227836996
1/5/24 23:00,1/6/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11075447,11075447,0.348306239,2394266,0.216162995
1/6/24 0:00,1/6/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10528375,10528375,0.331097513,2086079,0.198105499
1/6/24 1:00,1/6/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10212360,10212360,0.32115525,1899440,0.185999751
1/6/24 2:00,1/6/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10321100,10321100,0.324570745,1898109,0.1839035
1/6/24 3:00,1/6/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10198432,10198432,0.32070899,1851470,0.181547493
1/6/24 4:00,1/6/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10504687,10504687,0.330335498,1967095,0.187262744
1/6/24 5:00,1/6/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10464690,10464690,0.329073489,1944074,0.185773253
1/6/24 6:00,1/6/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11612817,11612817,0.365173012,2408631,0.207376003
1/6/24 7:00,1/6/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12494564,12494564,0.392894745,2828015,0.226280496
1/6/24 8:00,1/6/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14044165,14044165,0.441616505,3463541,0.24657625
1/6/24 9:00,1/6/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14706529,14706529,0.462438494,3618408,0.246075004
1/6/24 10:00,1/6/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15403596,15403596,0.484351009,3615396,0.234748244
1/6/24 11:00,1/6/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15718988,15718988,0.49426201,3621205,0.230371252
1/6/24 12:00,1/6/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15736690,15736690,0.494812012,3574370,0.227135494
1/6/24 13:00,1/6/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15485713,15485713,0.486914247,3441295,0.222222745
1/6/24 14:00,1/6/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15529160,15529160,0.488274008,3533353,0.22754775
1/6/24 15:00,1/6/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15089630,15089630,0.474448264,3605406,0.238956749
1/6/24 16:00,1/6/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14675669,14675669,0.461426258,3655207,0.249064744
1/6/24 17:00,1/6/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14383510,14383510,0.452234507,3578134,0.248766005
1/6/24 18:00,1/6/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14339275,14339275,0.450838,3536843,0.246659756
1/6/24 19:00,1/6/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14067119,14067119,0.442275494,3461900,0.246084005
1/6/24 20:00,1/6/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13574286,13574286,0.426775247,3139499,0.231266752
1/6/24 21:00,1/6/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13286921,13286921,0.417734742,2905514,0.218662754
1/6/24 22:00,1/6/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12264147,12264147,0.38557449,2370849,0.193199754
1/6/24 23:00,1/7/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11195236,11195236,0.351964235,1894659,0.169137001
1/7/24 0:00,1/7/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11232950,11232950,0.353145242,1696985,0.151083246
1/7/24 1:00,1/7/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11481661,11481661,0.360959738,1670580,0.145517752
1/7/24 2:00,1/7/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11456943,11456943,0.360177755,1540866,0.1345025
1/7/24 3:00,1/7/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11954845,11954845,0.375825495,1599662,0.133811504
1/7/24 4:00,1/7/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12421345,12421345,0.390486002,1714950,0.138064995
1/7/24 5:00,1/7/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12717848,12717848,0.399802238,1789313,0.140690506
1/7/24 6:00,1/7/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13273958,13273958,0.417278737,1881331,0.141731501
1/7/24 7:00,1/7/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13834323,13834323,0.434888512,1992620,0.144023001
1/7/24 8:00,1/7/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14912504,14912504,0.468775511,2382473,0.159723505
1/7/24 9:00,1/7/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,16305080,16305080,0.512544751,2716219,0.166698754
1/7/24 10:00,1/7/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,18403672,18403672,0.578505754,2844853,0.154645249
1/7/24 11:00,1/7/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,19874118,19874118,0.624720275,2929454,0.147422507
1/7/24 12:00,1/7/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,20104722,20104722,0.63196075,2949334,0.146704495
1/7/24 13:00,1/7/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,19532116,19532116,0.613953769,2991052,0.153136998
1/7/24 14:00,1/7/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,18543580,18543580,0.582873762,3195751,0.172572255
1/7/24 15:00,1/7/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,16149975,16149975,0.507629752,3453599,0.214334756
1/7/24 16:00,1/7/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15048205,15048205,0.47299251,3576940,0.237712249
1/7/24 17:00,1/7/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14873586,14873586,0.467498004,3633204,0.244271755
1/7/24 18:00,1/7/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14944065,14944065,0.469707012,3673587,0.245822251
1/7/24 19:00,1/7/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14854453,14854453,0.466884255,3640669,0.245088503
1/7/24 20:00,1/7/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14905725,14905725,0.468489736,3553704,0.238415003
1/7/24 21:00,1/7/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14003757,14003757,0.440135002,3209882,0.2291895
1/7/24 22:00,1/7/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12798292,12798292,0.402242512,2561732,0.200148001
1/7/24 23:00,1/8/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12779521,12779521,0.40164724,2230020,0.174473494
1/8/24 0:00,1/8/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12517139,12517139,0.393395513,2081943,0.166358754
1/8/24 1:00,1/8/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12311381,12311381,0.386923999,2217985,0.180154994
1/8/24 2:00,1/8/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12182378,12182378,0.382864743,2142986,0.175921246
1/8/24 3:00,1/8/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13045295,13045295,0.409978986,2280579,0.174787506
1/8/24 4:00,1/8/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14618754,14618754,0.459422499,2951302,0.201730743
1/8/24 5:00,1/8/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,17395317,17395317,0.546674252,4321270,0.248065755
1/8/24 6:00,1/8/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,20365576,20365576,0.640011013,5570031,0.273528993
1/8/24 7:00,1/8/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,22228822,22228822,0.698557019,5929556,0.266762257
1/8/24 8:00,1/8/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,23202764,23202764,0.729154229,6168721,0.265864998
1/8/24 9:00,1/8/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,25036167,25036167,0.786759257,6340007,0.253404498
1/8/24 10:00,1/8/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,27268091,27268091,0.856886268,6302584,0.231252998
1/8/24 11:00,1/8/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,27981708,27981708,0.879299998,5934066,0.212082744
1/8/24 12:00,1/8/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,29153654,29153654,0.916115224,5831012,0.200051993
1/8/24 13:00,1/8/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,29677695,29677695,0.932570517,5851354,0.197181746
1/8/24 14:00,1/8/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,28197910,28197910,0.886059523,6118297,0.217142001
1/8/24 15:00,1/8/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,25950858,25950858,0.815440238,6386018,0.246172994
1/8/24 16:00,1/8/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,25081625,25081625,0.788116515,6444771,0.256956995
1/8/24 17:00,1/8/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,24552635,24552635,0.771484256,6288637,0.256119996
1/8/24 18:00,1/8/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,24248069,24248069,0.761904776,6177403,0.254752755
1/8/24 19:00,1/8/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,23520943,23520943,0.739048004,5942236,0.25263226
1/8/24 20:00,1/8/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,22109476,22109476,0.694689274,5444421,0.246231496
1/8/24 21:00,1/8/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,20834223,20834223,0.654612005,4940926,0.237116754
1/8/24 22:00,1/8/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,19434782,19434782,0.610633492,4372968,0.224970996
1/8/24 23:00,1/9/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,18559428,18559428,0.583123028,4011611,0.216126755
