Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,wind_speed_10m,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
0.14903,2025-02-14 12:00:00+00:00,16002.0,422.0,2.932500123977661,688.6553955078125,133.83535766601562,10.0,0.7150441465537444,238.25,2,0,0.6990793005655562,6.479999542236328,0,-1.0,0,65.0,-0.433883739117558,1.2246467991473532e-16,-0.9009688679024191
0.14528,2025-02-14 13:00:00+00:00,16162.75,321.0,3.632499933242798,425.2226867675781,144.90260314941406,228.0,0.7150441465537444,846.0,2,0,0.6990793005655562,6.119999885559082,0,-0.9659258262890683,0,100.0,-0.433883739117558,-0.2588190451025208,-0.9009688679024191
0.15061000000000002,2025-02-14 14:00:00+00:00,16261.0,172.0,3.5824999809265137,121.09215545654297,127.23764038085938,507.0,0.7150441465537444,899.0,2,0,0.6990793005655562,1.7999999523162842,0,-0.8660254037844388,0,36.0,-0.433883739117558,-0.4999999999999998,-0.9009688679024191
0.16711,2025-02-14 15:00:00+00:00,16492.5,201.0,3.0325000286102295,309.72357177734375,111.78057098388672,620.0,0.7150441465537444,770.5,2,0,0.6990793005655562,2.1600000858306885,0,-0.7071067811865479,0,100.0,-0.433883739117558,-0.7071067811865471,-0.9009688679024191
0.19046000000000002,2025-02-14 16:00:00+00:00,17148.0,88.0,2.932500123977661,118.8508071899414,67.21086883544922,615.0,0.7150441465537444,673.5,2,0,0.6990793005655562,3.9600000381469727,0,-0.5000000000000004,0,100.0,-0.433883739117558,-0.8660254037844384,-0.9009688679024191
0.27526,2025-02-14 17:00:00+00:00,18122.75,6.0,2.182500123977661,0.0,6.0,483.0,0.7150441465537444,948.5,2,0,0.6990793005655562,3.9600000381469727,0,-0.25881904510252063,0,100.0,-0.433883739117558,-0.9659258262890683,-0.9009688679024191
0.27576999999999996,2025-02-14 18:00:00+00:00,18168.25,0.0,0.7825000286102295,0.0,0.0,617.0,0.7150441465537444,1055.0,2,0,0.6990793005655562,2.879999876022339,0,-1.8369701987210297e-16,0,100.0,-0.433883739117558,-1.0,-0.9009688679024191
0.22186,2025-02-14 19:00:00+00:00,17404.75,0.0,1.6325000524520874,0.0,0.0,568.0,0.7150441465537444,1044.0,2,0,0.6990793005655562,5.039999961853027,0,0.2588190451025203,0,100.0,-0.433883739117558,-0.9659258262890684,-0.9009688679024191
0.18355000000000002,2025-02-14 20:00:00+00:00,16573.0,0.0,1.3324999809265137,0.0,0.0,582.0,0.7150441465537444,593.25,2,0,0.6990793005655562,4.679999828338623,0,0.5000000000000001,0,100.0,-0.433883739117558,-0.8660254037844386,-0.9009688679024191
0.16319999999999998,2025-02-14 21:00:00+00:00,15698.25,0.0,1.3324999809265137,0.0,0.0,602.0,0.7150441465537444,533.75,2,0,0.6990793005655562,6.839999675750732,0,0.7071067811865474,0,100.0,-0.433883739117558,-0.7071067811865477,-0.9009688679024191
0.153,2025-02-14 22:00:00+00:00,14811.25,0.0,1.1825000047683716,0.0,0.0,621.0,0.7150441465537444,308.25,2,0,0.6990793005655562,3.5999999046325684,0,0.8660254037844384,0,100.0,-0.433883739117558,-0.5000000000000004,-0.9009688679024191
0.14003,2025-02-14 23:00:00+00:00,14050.75,0.0,0.6825000047683716,0.0,0.0,621.0,0.7150441465537444,244.75,2,0,0.6990793005655562,4.320000171661377,0,0.9659258262890681,0,100.0,-0.433883739117558,-0.25881904510252157,-0.9009688679024191
0.13290000000000002,2025-02-15 00:00:00+00:00,13276.5,0.0,0.7324999570846558,0.0,0.0,620.0,0.7029130847082615,793.75,2,0,0.7112757519738152,1.7999999523162842,1,1.0,1,100.0,-0.9749279121818236,0.0,-0.2225209339563146
0.12804,2025-02-15 01:00:00+00:00,12765.25,0.0,0.6825000047683716,0.0,0.0,620.0,0.7029130847082615,620.0,2,0,0.7112757519738152,4.679999828338623,1,0.9659258262890683,1,100.0,-0.9749279121818236,0.25881904510252074,-0.2225209339563146
0.11838,2025-02-15 02:00:00+00:00,12508.5,0.0,0.3824999928474426,0.0,0.0,621.0,0.7029130847082615,374.75,2,0,0.7112757519738152,2.879999876022339,1,0.8660254037844387,1,100.0,-0.9749279121818236,0.49999999999999994,-0.2225209339563146
0.11519,2025-02-15 03:00:00+00:00,12348.25,0.0,-0.2175000011920929,0.0,0.0,619.0,0.7029130847082615,408.25,2,0,0.7112757519738152,3.9600000381469727,1,0.7071067811865476,1,95.0,-0.9749279121818236,0.7071067811865475,-0.2225209339563146
0.115,2025-02-15 04:00:00+00:00,12253.0,0.0,0.48249998688697815,0.0,0.0,585.0,0.7029130847082615,599.75,2,0,0.7112757519738152,2.5199999809265137,1,0.5000000000000001,1,100.0,-0.9749279121818236,0.8660254037844386,-0.2225209339563146
0.11708,2025-02-15 05:00:00+00:00,12300.75,0.0,-0.06750000268220901,0.0,0.0,569.0,0.7029130847082615,740.25,2,0,0.7112757519738152,5.399999618530273,1,0.25881904510252074,1,100.0,-0.9749279121818236,0.9659258262890683,-0.2225209339563146
0.12954,2025-02-15 06:00:00+00:00,12818.25,0.0,-0.4675000011920929,0.0,0.0,620.0,0.7029130847082615,940.25,2,0,0.7112757519738152,6.479999542236328,1,6.123233995736766e-17,1,100.0,-0.9749279121818236,1.0,-0.2225209339563146
0.14507,2025-02-15 07:00:00+00:00,13609.0,0.0,0.48249998688697815,0.0,0.0,614.0,0.7029130847082615,701.25,2,0,0.7112757519738152,3.9600000381469727,1,-0.25881904510252063,1,100.0,-0.9749279121818236,0.9659258262890683,-0.2225209339563146
0.14858000000000002,2025-02-15 08:00:00+00:00,14416.75,12.0,0.6825000047683716,0.0,12.0,465.0,0.7029130847082615,229.0,2,0,0.7112757519738152,3.5999999046325684,1,-0.49999999999999983,1,100.0,-0.9749279121818236,0.8660254037844387,-0.2225209339563146
0.13683,2025-02-15 09:00:00+00:00,14792.5,89.0,1.8825000524520874,82.82737731933594,71.92536163330078,447.0,0.7029130847082615,-164.75,2,0,0.7112757519738152,5.039999961853027,1,-0.7071067811865475,1,78.0,-0.9749279121818236,0.7071067811865476,-0.2225209339563146
0.12459,2025-02-15 10:00:00+00:00,14753.0,193.0,2.2825000286102295,236.8645477294922,118.76963806152344,592.0,0.7029130847082615,-985.75,2,0,0.7112757519738152,2.879999876022339,1,-0.8660254037844387,1,100.0,-0.9749279121818236,0.49999999999999994,-0.2225209339563146
0.11835999999999999,2025-02-15 11:00:00+00:00,14607.5,120.0,2.9825000762939453,40.79573059082031,104.18685913085938,600.0,0.7029130847082615,-1078.75,2,0,0.7112757519738152,6.119999885559082,1,-0.9659258262890682,1,100.0,-0.9749279121818236,0.258819045102521,-0.2225209339563146
0.11239,2025-02-15 12:00:00+00:00,14449.0,78.0,2.882499933242798,10.22635269165039,73.66619873046875,490.0,0.7029130847082615,-972.0,2,0,0.7112757519738152,6.119999885559082,1,-1.0,1,100.0,-0.9749279121818236,1.2246467991473532e-16,-0.2225209339563146
0.11001000000000001,2025-02-15 13:00:00+00:00,14414.75,208.0,3.3324999809265137,145.54969787597656,146.95042419433594,532.0,0.7029130847082615,-998.5,2,0,0.7112757519738152,5.759999752044678,1,-0.9659258262890683,1,100.0,-0.9749279121818236,-0.2588190451025208,-0.2225209339563146
0.11464,2025-02-15 14:00:00+00:00,14423.5,206.0,3.2325000762939453,186.15066528320312,136.2151336669922,569.0,0.7029130847082615,-644.5,2,0,0.7112757519738152,6.479999542236328,1,-0.8660254037844388,1,100.0,-0.9749279121818236,-0.4999999999999998,-0.2225209339563146
