Forecasted Load,forecast_date,target_datetime
11290.0,2025-01-02,2025-01-02 03:15:00+01:00
11252.0,2025-01-02,2025-01-02 03:30:00+01:00
11233.0,2025-01-02,2025-01-02 03:45:00+01:00
11227.0,2025-01-02,2025-01-02 04:00:00+01:00
11268.0,2025-01-02,2025-01-02 04:15:00+01:00
11245.0,2025-01-02,2025-01-02 04:30:00+01:00
11247.0,2025-01-02,2025-01-02 04:45:00+01:00
11306.0,2025-01-02,2025-01-02 05:00:00+01:00
11462.0,2025-01-02,2025-01-02 05:15:00+01:00
11537.0,2025-01-02,2025-01-02 05:30:00+01:00
11662.0,2025-01-02,2025-01-02 05:45:00+01:00
11817.0,2025-01-02,2025-01-02 06:00:00+01:00
12163.0,2025-01-02,2025-01-02 06:15:00+01:00
12361.0,2025-01-02,2025-01-02 06:30:00+01:00
12511.0,2025-01-02,2025-01-02 06:45:00+01:00
12732.0,2025-01-02,2025-01-02 07:00:00+01:00
13162.0,2025-01-02,2025-01-02 07:15:00+01:00
13479.0,2025-01-02,2025-01-02 07:30:00+01:00
13697.0,2025-01-02,2025-01-02 07:45:00+01:00
13825.0,2025-01-02,2025-01-02 08:00:00+01:00
14045.0,2025-01-02,2025-01-02 08:15:00+01:00
14213.0,2025-01-02,2025-01-02 08:30:00+01:00
14307.0,2025-01-02,2025-01-02 08:45:00+01:00
14367.0,2025-01-02,2025-01-02 09:00:00+01:00
14503.0,2025-01-02,2025-01-02 09:15:00+01:00
14606.0,2025-01-02,2025-01-02 09:30:00+01:00
14634.0,2025-01-02,2025-01-02 09:45:00+01:00
14699.0,2025-01-02,2025-01-02 10:00:00+01:00
14779.0,2025-01-02,2025-01-02 10:15:00+01:00
14784.0,2025-01-02,2025-01-02 10:30:00+01:00
14816.0,2025-01-02,2025-01-02 10:45:00+01:00
14833.0,2025-01-02,2025-01-02 11:00:00+01:00
14803.0,2025-01-02,2025-01-02 11:15:00+01:00
14759.0,2025-01-02,2025-01-02 11:30:00+01:00
14808.0,2025-01-02,2025-01-02 11:45:00+01:00
14836.0,2025-01-02,2025-01-02 12:00:00+01:00
14829.0,2025-01-02,2025-01-02 12:15:00+01:00
14792.0,2025-01-02,2025-01-02 12:30:00+01:00
14826.0,2025-01-02,2025-01-02 12:45:00+01:00
14848.0,2025-01-02,2025-01-02 13:00:00+01:00
14816.0,2025-01-02,2025-01-02 13:15:00+01:00
14804.0,2025-01-02,2025-01-02 13:30:00+01:00
14784.0,2025-01-02,2025-01-02 13:45:00+01:00
14806.0,2025-01-02,2025-01-02 14:00:00+01:00
14726.0,2025-01-02,2025-01-02 14:15:00+01:00
14681.0,2025-01-02,2025-01-02 14:30:00+01:00
14692.0,2025-01-02,2025-01-02 14:45:00+01:00
14683.0,2025-01-02,2025-01-02 15:00:00+01:00
14688.0,2025-01-02,2025-01-02 15:15:00+01:00
14757.0,2025-01-02,2025-01-02 15:30:00+01:00
14787.0,2025-01-02,2025-01-02 15:45:00+01:00
14837.0,2025-01-02,2025-01-02 16:00:00+01:00
14858.0,2025-01-02,2025-01-02 16:15:00+01:00
15046.0,2025-01-02,2025-01-02 16:30:00+01:00
15184.0,2025-01-02,2025-01-02 16:45:00+01:00
15324.0,2025-01-02,2025-01-02 17:00:00+01:00
15434.0,2025-01-02,2025-01-02 17:15:00+01:00
15506.0,2025-01-02,2025-01-02 17:30:00+01:00
15503.0,2025-01-02,2025-01-02 17:45:00+01:00
15465.0,2025-01-02,2025-01-02 18:00:00+01:00
15208.0,2025-01-02,2025-01-02 18:15:00+01:00
15063.0,2025-01-02,2025-01-02 18:30:00+01:00
14939.0,2025-01-02,2025-01-02 18:45:00+01:00
14855.0,2025-01-02,2025-01-02 19:00:00+01:00
14761.0,2025-01-02,2025-01-02 19:15:00+01:00
14654.0,2025-01-02,2025-01-02 19:30:00+01:00
14581.0,2025-01-02,2025-01-02 19:45:00+01:00
14495.0,2025-01-02,2025-01-02 20:00:00+01:00
14398.0,2025-01-02,2025-01-02 20:15:00+01:00
14282.0,2025-01-02,2025-01-02 20:30:00+01:00
14149.0,2025-01-02,2025-01-02 20:45:00+01:00
14042.0,2025-01-02,2025-01-02 21:00:00+01:00
13891.0,2025-01-02,2025-01-02 21:15:00+01:00
13749.0,2025-01-02,2025-01-02 21:30:00+01:00
13680.0,2025-01-02,2025-01-02 21:45:00+01:00
13528.0,2025-01-02,2025-01-02 22:00:00+01:00
13404.0,2025-01-02,2025-01-02 22:15:00+01:00
13253.0,2025-01-02,2025-01-02 22:30:00+01:00
13148.0,2025-01-02,2025-01-02 22:45:00+01:00
13009.0,2025-01-02,2025-01-02 23:00:00+01:00
12881.0,2025-01-02,2025-01-02 23:15:00+01:00
12749.0,2025-01-02,2025-01-02 23:30:00+01:00
12617.0,2025-01-02,2025-01-02 23:45:00+01:00
11347.0,2025-01-03,2025-01-03 00:00:00+01:00
11382.0,2025-01-03,2025-01-03 00:15:00+01:00
11356.0,2025-01-03,2025-01-03 00:30:00+01:00
11310.0,2025-01-03,2025-01-03 00:45:00+01:00
11236.0,2025-01-03,2025-01-03 01:00:00+01:00
11208.0,2025-01-03,2025-01-03 01:15:00+01:00
11110.0,2025-01-03,2025-01-03 01:30:00+01:00
11057.0,2025-01-03,2025-01-03 01:45:00+01:00
10998.0,2025-01-03,2025-01-03 02:00:00+01:00
10977.0,2025-01-03,2025-01-03 02:15:00+01:00
10897.0,2025-01-03,2025-01-03 02:30:00+01:00
10851.0,2025-01-03,2025-01-03 02:45:00+01:00
10841.0,2025-01-03,2025-01-03 03:00:00+01:00
10835.0,2025-01-03,2025-01-03 03:15:00+01:00
10755.0,2025-01-03,2025-01-03 03:30:00+01:00
10700.0,2025-01-03,2025-01-03 03:45:00+01:00
10700.0,2025-01-03,2025-01-03 04:00:00+01:00
10776.0,2025-01-03,2025-01-03 04:15:00+01:00
10828.0,2025-01-03,2025-01-03 04:30:00+01:00
10860.0,2025-01-03,2025-01-03 04:45:00+01:00
10925.0,2025-01-03,2025-01-03 05:00:00+01:00
11119.0,2025-01-03,2025-01-03 05:15:00+01:00
11224.0,2025-01-03,2025-01-03 05:30:00+01:00
11323.0,2025-01-03,2025-01-03 05:45:00+01:00
11551.0,2025-01-03,2025-01-03 06:00:00+01:00
11964.0,2025-01-03,2025-01-03 06:15:00+01:00
12203.0,2025-01-03,2025-01-03 06:30:00+01:00
12408.0,2025-01-03,2025-01-03 06:45:00+01:00
12720.0,2025-01-03,2025-01-03 07:00:00+01:00
13121.0,2025-01-03,2025-01-03 07:15:00+01:00
13460.0,2025-01-03,2025-01-03 07:30:00+01:00
13724.0,2025-01-03,2025-01-03 07:45:00+01:00
13999.0,2025-01-03,2025-01-03 08:00:00+01:00
14382.0,2025-01-03,2025-01-03 08:15:00+01:00
14645.0,2025-01-03,2025-01-03 08:30:00+01:00
13578.0,2025-01-03,2025-01-03 08:45:00+01:00
14852.0,2025-01-03,2025-01-03 09:00:00+01:00
14893.0,2025-01-03,2025-01-03 09:15:00+01:00
14898.0,2025-01-03,2025-01-03 09:30:00+01:00
14831.0,2025-01-03,2025-01-03 09:45:00+01:00
14635.0,2025-01-03,2025-01-03 10:00:00+01:00
14442.0,2025-01-03,2025-01-03 10:15:00+01:00
14298.0,2025-01-03,2025-01-03 10:30:00+01:00
14196.0,2025-01-03,2025-01-03 10:45:00+01:00
14089.0,2025-01-03,2025-01-03 11:00:00+01:00
13919.0,2025-01-03,2025-01-03 11:15:00+01:00
13926.0,2025-01-03,2025-01-03 11:30:00+01:00
13912.0,2025-01-03,2025-01-03 11:45:00+01:00
13849.0,2025-01-03,2025-01-03 12:00:00+01:00
13751.0,2025-01-03,2025-01-03 12:15:00+01:00
13652.0,2025-01-03,2025-01-03 12:30:00+01:00
13589.0,2025-01-03,2025-01-03 12:45:00+01:00
13551.0,2025-01-03,2025-01-03 13:00:00+01:00
13694.0,2025-01-03,2025-01-03 13:15:00+01:00
13831.0,2025-01-03,2025-01-03 13:30:00+01:00
13837.0,2025-01-03,2025-01-03 13:45:00+01:00
13873.0,2025-01-03,2025-01-03 14:00:00+01:00
14038.0,2025-01-03,2025-01-03 14:15:00+01:00
14128.0,2025-01-03,2025-01-03 14:30:00+01:00
14228.0,2025-01-03,2025-01-03 14:45:00+01:00
14371.0,2025-01-03,2025-01-03 15:00:00+01:00
14596.0,2025-01-03,2025-01-03 15:15:00+01:00
14711.0,2025-01-03,2025-01-03 15:30:00+01:00
14731.0,2025-01-03,2025-01-03 15:45:00+01:00
14912.0,2025-01-03,2025-01-03 16:00:00+01:00
14984.0,2025-01-03,2025-01-03 16:15:00+01:00
15142.0,2025-01-03,2025-01-03 16:30:00+01:00
15292.0,2025-01-03,2025-01-03 16:45:00+01:00
15365.0,2025-01-03,2025-01-03 17:00:00+01:00
15386.0,2025-01-03,2025-01-03 17:15:00+01:00
15483.0,2025-01-03,2025-01-03 17:30:00+01:00
15479.0,2025-01-03,2025-01-03 17:45:00+01:00
15246.0,2025-01-03,2025-01-03 18:00:00+01:00
14859.0,2025-01-03,2025-01-03 18:15:00+01:00
