Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
0.12243000000000001,2025-05-14 06:00:00+00:00,9240.75,158.0,12.132500648498535,260.4446716308594,95.81584167480469,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,6.123233995736766e-17,0,96.0,0.9749279121818236,1.0,-0.22252093395631434
0.12858,2025-05-14 05:00:00+00:00,9604.5,53.0,10.882500648498535,115.27887725830078,39.4596061706543,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,0.25881904510252074,0,92.0,0.9749279121818236,0.9659258262890683,-0.22252093395631434
0.10222,2025-05-14 04:00:00+00:00,9843.0,1.0,10.482500076293945,6.574620723724365,0.7062734961509705,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,0.5000000000000001,0,54.0,0.9749279121818236,0.8660254037844386,-0.22252093395631434
0.09451999999999999,2025-05-14 03:00:00+00:00,9993.5,0.0,10.832500457763672,0.0,0.0,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,0.7071067811865476,0,25.0,0.9749279121818236,0.7071067811865475,-0.22252093395631434
0.0885,2025-05-14 02:00:00+00:00,10063.25,0.0,11.732500076293945,0.0,0.0,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,0.8660254037844387,0,61.0,0.9749279121818236,0.49999999999999994,-0.22252093395631434
0.08778,2025-05-14 01:00:00+00:00,10165.0,0.0,12.232500076293945,0.0,0.0,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,0.9659258262890683,0,0.0,0.9749279121818236,0.25881904510252074,-0.22252093395631434
0.08986,2025-05-14 00:00:00+00:00,10373.5,0.0,12.732500076293945,0.0,0.0,0.0,-0.6700888411055113,0.0,5,1,0.742280907086982,0,1.0,0,0.0,0.9749279121818236,0.0,-0.22252093395631434
0.09748,2025-05-13 23:00:00+00:00,10600.75,0.0,13.582500457763672,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.9659258262890681,0,79.0,0.7818314824680298,-0.25881904510252157,0.6234898018587336
0.09920999999999999,2025-05-13 22:00:00+00:00,10738.75,0.0,14.182499885559082,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.8660254037844384,0,45.0,0.7818314824680298,-0.5000000000000004,0.6234898018587336
0.11223000000000001,2025-05-13 21:00:00+00:00,10729.0,0.0,15.532500267028809,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.7071067811865474,0,5.0,0.7818314824680298,-0.7071067811865477,0.6234898018587336
0.14837,2025-05-13 20:00:00+00:00,10673.5,3.0,17.282499313354492,0.0,3.1060116291046143,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.5000000000000001,0,0.0,0.7818314824680298,-0.8660254037844386,0.6234898018587336
0.21292,2025-05-13 19:00:00+00:00,10141.25,76.0,19.782499313354492,185.37966918945312,51.764503479003906,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.2588190451025203,0,0.0,0.7818314824680298,-0.9659258262890684,0.6234898018587336
0.12456999999999999,2025-05-13 18:00:00+00:00,8756.5,215.0,21.33249855041504,413.64654541015625,105.16060638427734,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-1.8369701987210297e-16,0,0.0,0.7818314824680298,-1.0,0.6234898018587336
0.097,2025-05-13 17:00:00+00:00,6710.0,374.0,22.782499313354492,572.7935180664062,136.2538604736328,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.25881904510252063,0,0.0,0.7818314824680298,-0.9659258262890683,0.6234898018587336
0.06925,2025-05-13 16:00:00+00:00,4477.0,538.0,23.732500076293945,697.5452270507812,151.95004272460938,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.5000000000000004,0,0.0,0.7818314824680298,-0.8660254037844384,0.6234898018587336
0.0001,2025-05-13 15:00:00+00:00,2328.5,677.0,23.482500076293945,761.6661376953125,165.74830627441406,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.7071067811865479,0,0.0,0.7818314824680298,-0.7071067811865471,0.6234898018587336
-0.0041600000000000005,2025-05-13 14:00:00+00:00,1458.75,779.0,23.932498931884766,783.5385131835938,183.207275390625,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.8660254037844388,0,0.0,0.7818314824680298,-0.4999999999999998,0.6234898018587336
-0.00733,2025-05-13 13:00:00+00:00,988.75,858.0,23.33249855041504,818.3564453125,191.17929077148438,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.9659258262890683,0,4.0,0.7818314824680298,-0.2588190451025208,0.6234898018587336
