run,start,end,mae,mse,rmse,r2
1,2025-05-25 12:00:00,2025-05-30 12:00:00,0.16884045176859516,0.029231877196156848,0.17097332305408597,0.0
2,2025-05-26 12:00:00,2025-05-31 12:00:00,0.17685818694669078,0.032187801203934066,0.17940959061302733,0.0
3,2025-05-27 12:00:00,2025-06-01 12:00:00,0.18190829521949411,0.03422465905431365,0.18499907852287711,0.0
4,2025-05-28 12:00:00,2025-06-02 12:00:00,0.18114016982553074,0.03421408298967948,0.18497049221343245,0.0
5,2025-05-29 12:00:00,2025-06-03 12:00:00,0.18799315970793193,0.03663875482176953,0.191412525247878,0.0
6,2025-05-30 12:00:00,2025-06-04 12:00:00,0.20751910097313847,0.043272505162373666,0.20802044409714557,0.0
