ds,actual,predicted
2025-05-31 10:00:00,0.0,0.2109536584049081
2025-05-31 11:00:00,0.0,0.19982392132961468
2025-05-31 12:00:00,0.0,0.19403222853349944
2025-05-31 13:00:00,0.0,0.19478490299321471
2025-05-31 14:00:00,0.0,0.20082399338445023
2025-05-31 15:00:00,0.0,0.21036977497903897
2025-05-31 16:00:00,0.0,0.22153362769830687
2025-05-31 17:00:00,0.0,0.2314167365751223
2025-05-31 18:00:00,0.0,0.23610731710899446
2025-05-31 19:00:00,0.0,0.23289082050213628
2025-05-31 20:00:00,0.0,0.2231089330204279
2025-05-31 21:00:00,0.0,0.2125024136966378
2025-05-31 22:00:00,0.0,0.207673478934858
2025-05-31 23:00:00,0.0,0.2110739527939638
