run,start,end,mae,mse,rmse,r2
1,2025-04-18 12:00:00,2025-04-23 12:00:00,0.03579720092744402,0.0018862011643577706,0.04343041750153653,0.12056206795366198
2,2025-04-19 12:00:00,2025-04-24 12:00:00,0.033375501865680314,0.0017078441042353235,0.041326070515297283,0.09843521401505606
3,2025-04-20 12:00:00,2025-04-25 12:00:00,0.026854818030286175,0.0011862570489519345,0.03444208252925387,-0.032797506239108376
4,2025-04-21 12:00:00,2025-04-26 12:00:00,0.025852598501844886,0.0011578814510491064,0.03402765714898848,0.12278374731147568
5,2025-04-22 12:00:00,2025-04-27 12:00:00,0.03393496411375952,0.002442609920064741,0.04942276722386901,0.24497259435147445
6,2025-04-23 12:00:00,2025-04-28 12:00:00,0.03620215218587832,0.0025408903906827185,0.05040724541851815,0.19562120515736803
