Model,MAE,MSE,RMSE,R2,Comments,Execution Time,Run At
Prophet,0.030966396776207,0.0015319000723791,0.0391394950450197,0.4447829776406785,Refactor code run 5 with three parameters,1.114314079284668,20250516_092535
Prophet,0.0361793852139813,0.0022565426374386,0.0475030802942151,0.1821458157908674,Revised model with hyperparameter tuning and -ve price Run,2.3988490104675293,20250516_092722
Prophet,0.0361975729172694,0.0022619528905977,0.0475599925420276,0.1801849407290061,Revised model with hyperparameter tuning and -ve price Run,42.22490906715393,20250516_092852
Prophet,0.0361975729172694,0.0022619528905977,0.0475599925420276,0.1801849407290061,Revised model with hyperparameter tuning and -ve price Run,32.254749059677124,20250516_093016
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.795738935470581,20250516_093145
Prophet,0.030966396776207,0.0015319000723791,0.0391394950450197,0.4447829776406785,Refactor code run 5 with three parameters,1.19972825050354,20250516_100424
Prophet,0.030966396776207,0.0015319000723791,0.0391394950450197,0.4447829776406785,Refactor code run 5 with three parameters,1.217451095581055,20250516_100822
Prophet,0.0361975729172694,0.0022619528905977,0.0475599925420276,0.1801849407290061,Revised model with hyperparameter tuning and -ve price Run,34.99475908279419,20250516_101347
Prophet,0.030966396776207,0.0015319000723791,0.0391394950450197,0.4447829776406785,Refactor code run 5 with three parameters,1.6081910133361816,20250516_114045
Prophet,0.030966396776207,0.0015319000723791,0.0391394950450197,0.4447829776406785,Refactor code run 5 with three parameters,1.5618150234222412,20250516_114635
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.723357915878296,20250516_114754
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.7799420356750488,20250516_114914
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.7979261875152588,20250516_115152
Prophet,0.0862039659631895,0.0144636763650949,0.1202650255273532,-4.242169165332785,Refactor code run 5 with three parameters,2.053319931030273,20250517_093435
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.5972468852996826,20250517_093519
Prophet,0.0851313378427697,0.014026744532509,0.1184345580162691,-4.083808972369554,Refactor code run 5 with three parameters,1.890537977218628,20250517_165230
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.4874210357666016,20250517_165453
